pca_components,explained_variance,compression_ratio,k,jump_penalty,silhouette,inertia,objective,jumps,average_duration_weeks,min_cluster_size,max_cluster_share,cluster_sizes,market_regime_feasible,attention_ready,tuning_score
2,0.28276326941569363,27.0,2,0.0,0.48551331090398814,5405.920031033122,5405.920031033122,17,32.166666666666664,210,0.6373056994818653,"369,210",True,False,0.47551331090398813
2,0.28276326941569363,27.0,2,0.1,0.48551331090398814,5405.920031033122,5407.620031033121,17,32.166666666666664,210,0.6373056994818653,"369,210",True,False,0.47551331090398813
2,0.28276326941569363,27.0,2,0.25,0.48551331090398814,5405.920031033122,5410.170031033122,17,32.166666666666664,210,0.6373056994818653,"369,210",True,False,0.47551331090398813
2,0.28276326941569363,27.0,2,0.5,0.485429158323566,5407.206045595047,5413.706045595047,13,41.357142857142854,210,0.6373056994818653,"369,210",True,False,0.47542915832356597
2,0.28276326941569363,27.0,2,1.0,0.48586895067301117,5408.194554883485,5419.194554883485,11,48.25,209,0.6390328151986183,"370,209",True,False,0.47586895067301116
2,0.28276326941569363,27.0,2,2.0,0.4847749504067942,5414.028331303218,5428.028331303218,7,72.375,209,0.6390328151986183,"370,209",False,False,0.4747749504067942
2,0.28276326941569363,27.0,2,4.0,0.48519882344035986,5420.631219954477,5440.631219954477,5,96.5,207,0.6424870466321243,"372,207",False,False,0.47519882344035985
2,0.28276326941569363,27.0,2,8.0,0.48452918236686376,5432.604019259803,5456.604019259803,3,144.75,205,0.6459412780656304,"374,205",False,False,0.47452918236686376
2,0.28276326941569363,27.0,2,16.0,0.48452918236686376,5432.604019259803,5480.604019259803,3,144.75,205,0.6459412780656304,"374,205",False,False,0.47452918236686376
2,0.28276326941569363,27.0,2,32.0,0.48452918236686376,5432.604019259803,5528.604019259803,3,144.75,205,0.6459412780656304,"374,205",False,False,0.47452918236686376
2,0.28276326941569363,27.0,2,64.0,0.48452918236686376,5432.604019259803,5624.604019259803,3,144.75,205,0.6459412780656304,"374,205",False,False,0.47452918236686376
2,0.28276326941569363,27.0,3,0.0,0.5029700444147055,3485.5765491667553,3485.5765491667553,17,32.166666666666664,7,0.6321243523316062,"366,206,7",False,False,0.47297004441470547
2,0.28276326941569363,27.0,3,0.1,0.5029700444147055,3485.5765491667553,3487.276549166755,17,32.166666666666664,7,0.6321243523316062,"366,206,7",False,False,0.47297004441470547
2,0.28276326941569363,27.0,3,0.25,0.5029700444147055,3485.5765491667553,3489.8265491667553,17,32.166666666666664,7,0.6321243523316062,"366,206,7",False,False,0.47297004441470547
2,0.28276326941569363,27.0,3,0.5,0.5032275423213899,3486.4198722119404,3493.9198722119404,15,36.1875,7,0.6338514680483592,"367,205,7",False,False,0.47322754232138986
2,0.28276326941569363,27.0,3,1.0,0.502673410194418,3487.7617856847755,3500.7617856847755,13,41.357142857142854,7,0.6321243523316062,"366,206,7",False,False,0.472673410194418
2,0.28276326941569363,27.0,3,2.0,0.502556199549958,3492.8558620015087,3510.8558620015087,9,57.9,7,0.6373056994818653,"369,203,7",False,False,0.472556199549958
2,0.28276326941569363,27.0,3,4.0,0.5019807395996623,3496.930736452945,3524.930736452945,7,72.375,7,0.6390328151986183,"370,202,7",False,False,0.47198073959966225
2,0.28276326941569363,27.0,3,8.0,0.5009525145391738,3505.867014758426,3545.867014758426,5,96.5,7,0.6424870466321243,"372,200,7",False,False,0.47095251453917375
2,0.28276326941569363,27.0,3,16.0,0.5009525145391738,3505.867014758426,3585.867014758426,5,96.5,7,0.6424870466321243,"372,200,7",False,False,0.47095251453917375
2,0.28276326941569363,27.0,3,32.0,0.4994448502872946,3555.933328048295,3651.933328048295,3,144.75,6,0.6424870466321243,"372,201,6",False,False,0.46944485028729455
2,0.28276326941569363,27.0,3,64.0,0.4994448502872946,3555.933328048295,3747.933328048295,3,144.75,6,0.6424870466321243,"372,201,6",False,False,0.46944485028729455
2,0.28276326941569363,27.0,4,0.0,0.4996257029923455,2503.5630861354093,2503.5630861354093,80,7.148148148148148,5,0.5354058721934369,"189,310,5,75",False,False,0.46962570299234546
2,0.28276326941569363,27.0,4,0.1,0.4996257029923455,2503.5630861354093,2511.5630861354093,80,7.148148148148148,5,0.5354058721934369,"189,310,5,75",False,False,0.46962570299234546
2,0.28276326941569363,27.0,4,0.25,0.49981790282318667,2503.783745672182,2523.283745672182,78,7.329113924050633,5,0.533678756476684,"190,309,5,75",False,False,0.46981790282318664
2,0.28276326941569363,27.0,4,0.5,0.4994405772463121,2504.761227561454,2542.761227561454,76,7.51948051948052,5,0.5354058721934369,"189,310,5,75",False,False,0.46944057724631205
2,0.28276326941569363,27.0,4,1.0,0.5000677503367709,2506.633982025405,2579.633982025405,73,7.824324324324325,5,0.538860103626943,"188,312,5,74",False,False,0.47006775033677084
2,0.28276326941569363,27.0,4,2.0,0.4997075247523785,2515.740930645129,2649.740930645129,67,8.514705882352942,5,0.542314335060449,"189,314,5,71",False,False,0.4697075247523785
2,0.28276326941569363,27.0,4,4.0,0.49407338358686936,2549.7732530391754,2769.7732530391754,55,10.339285714285714,5,0.5440414507772021,"189,315,5,70",False,False,0.46407338358686934
2,0.28276326941569363,27.0,4,8.0,0.4384752755944355,2696.330949290994,2936.330949290994,30,18.677419354838708,7,0.5250431778929189,"304,7,68,200",False,False,0.40847527559443547
2,0.28276326941569363,27.0,4,16.0,0.4485376324138196,2910.332403824584,3118.332403824584,13,41.357142857142854,6,0.6424870466321243,"141,372,6,60",False,False,0.4185376324138196
2,0.28276326941569363,27.0,4,32.0,0.4197054906819446,3050.3617433492673,3242.3617433492673,6,82.71428571428571,6,0.6424870466321243,"134,372,6,67",False,False,0.3897054906819446
2,0.28276326941569363,27.0,4,64.0,0.41503705246401895,3160.717603894561,3416.717603894561,4,115.8,6,0.6424870466321243,"141,372,6,60",False,False,0.3850370524640189
2,0.28276326941569363,27.0,5,0.0,0.46359638468129283,1859.2914027146435,1859.2914027146435,112,5.123893805309734,7,0.4853195164075993,"143,281,86,7,62",False,False,0.4335963846812928
2,0.28276326941569363,27.0,5,0.1,0.4636599903407108,1859.2770055527149,1870.3770055527148,111,5.169642857142857,7,0.48704663212435234,"142,282,86,7,62",False,False,0.4336599903407108
2,0.28276326941569363,27.0,5,0.25,0.4641844225701094,1859.6832232291747,1886.9332232291747,109,5.263636363636364,7,0.48877374784110533,"142,283,85,7,62",False,False,0.43418442257010936
2,0.28276326941569363,27.0,5,0.5,0.46602580628854057,1861.2564175871228,1912.7564175871228,103,5.5673076923076925,7,0.49222797927461137,"143,285,83,7,61",False,False,0.43602580628854054
2,0.28276326941569363,27.0,5,1.0,0.465735052803834,1865.6155254782277,1962.6155254782277,97,5.908163265306122,7,0.4905008635578584,"145,284,84,7,59",False,False,0.43573505280383396
2,0.28276326941569363,27.0,5,2.0,0.47416155951429245,1894.860822554053,2044.860822554053,75,7.618421052631579,5,0.5267702936096719,"144,305,5,64,61",False,False,0.4441615595142924
2,0.28276326941569363,27.0,5,4.0,0.4664150927736107,1931.9661155321755,2179.9661155321755,62,9.19047619047619,5,0.533678756476684,"141,309,5,62,62",False,False,0.4364150927736107
2,0.28276326941569363,27.0,5,8.0,0.4180088031724507,2061.863008727799,2389.863008727799,41,13.785714285714286,6,0.5164075993091537,"136,72,299,6,66",False,False,0.3880088031724507
2,0.28276326941569363,27.0,5,16.0,0.40970489078431405,2192.270568308987,2656.270568308987,29,19.3,6,0.533678756476684,"143,309,6,61,60",False,False,0.379704890784314
2,0.28276326941569363,27.0,5,32.0,0.30595537284023344,2495.189953859838,2975.189953859838,15,36.1875,6,0.4905008635578584,"284,65,90,134,6",False,False,0.2759553728402334
2,0.28276326941569363,27.0,5,64.0,0.2556304077895578,2809.3350336327794,3257.3350336327794,7,72.375,6,0.5181347150259067,"141,72,300,6,60",False,False,0.2256304077895578
2,0.28276326941569363,27.0,6,0.0,0.3931781712381667,1588.4173004417462,1588.4173004417462,183,3.1467391304347827,5,0.3765112262521589,"140,118,5,38,60,218",False,False,0.36317817123816665
2,0.28276326941569363,27.0,6,0.1,0.39352851327000404,1588.5520851342458,1606.6520851342457,181,3.181318681318681,5,0.37823834196891193,"117,60,5,219,38,140",False,False,0.363528513270004
2,0.28276326941569363,27.0,6,0.25,0.39376640557079057,1588.8741551289775,1633.6241551289775,179,3.216666666666667,5,0.3799654576856649,"116,60,5,220,38,140",False,False,0.36376640557079054
2,0.28276326941569363,27.0,6,0.5,0.38909685816238726,1594.186932639622,1675.186932639622,162,3.5521472392638036,5,0.385146804835924,"141,109,5,42,59,223",False,False,0.35909685816238723
