pca_components,explained_variance,compression_ratio,k,jump_penalty,silhouette,inertia,objective,jumps,min_duration_weeks,average_duration_weeks,max_duration_weeks,smoothed_weeks,min_cluster_size,max_cluster_share,cluster_sizes,market_regime_feasible,attention_ready,tuning_score
6,0.539383616451501,9.0,2,0.0,0.3226289287517194,31177.092445632665,31177.092445632665,26,3,21.444444444444443,96,28,114,0.8031088082901554,"114,465",False,False,0.3026289287517194
6,0.539383616451501,9.0,2,0.25,0.3226289287517194,31177.092445632665,31183.592445632665,26,3,21.444444444444443,96,28,114,0.8031088082901554,"114,465",False,False,0.3026289287517194
6,0.539383616451501,9.0,2,0.5,0.3226289287517194,31177.092445632665,31190.092445632665,26,3,21.444444444444443,96,28,114,0.8031088082901554,"114,465",False,False,0.3026289287517194
6,0.539383616451501,9.0,2,1.0,0.3226289287517194,31177.092445632665,31203.092445632665,26,3,21.444444444444443,96,26,114,0.8031088082901554,"114,465",False,False,0.3026289287517194
6,0.539383616451501,9.0,2,2.0,0.3175666187370611,31070.753543510822,31122.753543510822,26,3,21.444444444444443,95,21,112,0.8065630397236615,"467,112",False,False,0.2975666187370611
6,0.539383616451501,9.0,2,4.0,0.31705044080913164,31117.744218161046,31213.744218161046,24,3,23.16,95,19,110,0.8100172711571675,"469,110",False,False,0.2970504408091316
6,0.539383616451501,9.0,2,8.0,0.3175666187370611,31070.753543510822,31278.753543510822,26,3,21.444444444444443,95,14,112,0.8065630397236615,"467,112",False,False,0.2975666187370611
6,0.539383616451501,9.0,2,16.0,0.31951469177938235,31115.52908619639,31499.52908619639,24,3,23.16,95,8,109,0.8117443868739206,"470,109",False,False,0.29951469177938234
6,0.539383616451501,9.0,2,32.0,0.32564030390601295,31094.345504918936,31862.345504918936,24,3,23.16,95,0,104,0.8203799654576857,"475,104",False,False,0.30564030390601293
6,0.539383616451501,9.0,2,64.0,0.3399164369416391,31301.239865614894,32453.239865614894,18,3,30.473684210526315,102,0,97,0.8324697754749568,"97,482",False,False,0.31991643694163907
6,0.539383616451501,9.0,3,0.0,0.1824622513543201,26751.213068691937,26751.213068691937,31,3,18.09375,95,30,100,0.531951640759931,"171,308,100",True,True,0.1824622513543201
6,0.539383616451501,9.0,3,0.25,0.18111079768101332,26741.706244316272,26749.456244316272,31,3,18.09375,95,30,100,0.5250431778929189,"175,304,100",True,True,0.18111079768101332
6,0.539383616451501,9.0,3,0.5,0.18105710462877533,26724.91113866389,26740.41113866389,31,3,18.09375,95,26,100,0.5233160621761658,"303,100,176",True,True,0.18105710462877533
6,0.539383616451501,9.0,3,1.0,0.18105710462877533,26724.91113866389,26755.91113866389,31,3,18.09375,95,26,100,0.5233160621761658,"303,100,176",True,True,0.18105710462877533
6,0.539383616451501,9.0,3,2.0,0.18105710462877533,26724.91113866389,26786.91113866389,31,3,18.09375,95,24,100,0.5233160621761658,"303,100,176",True,True,0.18105710462877533
6,0.539383616451501,9.0,3,4.0,0.18105710462877533,26724.91113866389,26848.91113866389,31,3,18.09375,95,21,100,0.5233160621761658,"303,100,176",True,True,0.18105710462877533
6,0.539383616451501,9.0,3,8.0,0.18251946110801356,26692.01986787212,26940.01986787212,31,3,18.09375,95,10,98,0.5250431778929189,"304,98,177",True,True,0.18251946110801356
6,0.539383616451501,9.0,3,16.0,0.18251946110801356,26692.01986787212,27188.01986787212,31,3,18.09375,95,5,98,0.5250431778929189,"304,98,177",True,True,0.18251946110801356
6,0.539383616451501,9.0,3,32.0,0.1843894376093834,26732.84106801803,27660.84106801803,29,3,19.3,95,3,98,0.533678756476684,"309,98,172",True,True,0.1843894376093834
6,0.539383616451501,9.0,3,64.0,0.18304383303877755,27040.754642199085,28320.754642199085,20,6,27.571428571428573,101,0,80,0.542314335060449,"314,80,185",True,True,0.18304383303877755
6,0.539383616451501,9.0,4,0.0,0.17353377004672982,23797.910797102082,23797.910797102082,34,3,16.542857142857144,57,32,22,0.5354058721934369,"310,22,83,164",True,True,0.17353377004672982
6,0.539383616451501,9.0,4,0.25,0.17353377004672982,23797.910797102082,23806.410797102082,34,3,16.542857142857144,57,32,22,0.5354058721934369,"310,22,83,164",True,True,0.17353377004672982
