regime,regime_name,feature,mean,z_score
0,R0: Calm / risk-on,cpi_yoy,0.03146082193812743,0.30757953384674136
0,R0: Calm / risk-on,dgs10_level,2.793009708737864,1.3064208339065337
0,R0: Calm / risk-on,gld_ret_20d,0.004152986149998431,-1.1336015050496413
0,R0: Calm / risk-on,nfci_level,-0.46717365695792884,-0.07704724620140854
0,R0: Calm / risk-on,spy_drawdown_60d,-0.013722937032378557,0.7867695710721818
0,R0: Calm / risk-on,spy_ret_20d,0.019265064249542885,0.6523952754882986
0,R0: Calm / risk-on,spy_vol_20d,0.0071033540433026,-0.9082237470784323
0,R0: Calm / risk-on,tlt_ret_20d,-0.00010559016464610144,-1.3946294851009355
0,R0: Calm / risk-on,tnx_level,2.7907734580796126,1.3029170380324606
0,R0: Calm / risk-on,unrate_level,4.515210355987056,-0.40665627510251945
0,R0: Calm / risk-on,vix_change_5d,-0.16003236184228203,-0.6414488242787111
0,R0: Calm / risk-on,vix_level,15.444789682777182,-0.9311194766449666
1,R1: Growth / trend,cpi_yoy,0.015346396778544583,-1.34921693859422
1,R1: Growth / trend,dgs10_level,2.4431395348837213,-1.1221970410175535
1,R1: Growth / trend,gld_ret_20d,0.013513538233325276,1.299064858440092
1,R1: Growth / trend,nfci_level,-0.5091556976744186,-1.1844022910043093
1,R1: Growth / trend,spy_drawdown_60d,-0.019094361752652115,0.6243309073399556
1,R1: Growth / trend,spy_ret_20d,0.022561504034057066,0.7604418164403609
1,R1: Growth / trend,spy_vol_20d,0.008660374948329101,-0.4846890739103005
1,R1: Growth / trend,tlt_ret_20d,0.0024289505947316047,0.49419790556907767
1,R1: Growth / trend,tnx_level,2.439651154848032,-1.127699418145589
1,R1: Growth / trend,unrate_level,5.426162790697674,1.3763468950482602
1,R1: Growth / trend,vix_change_5d,-0.23017441394717195,-0.7707917601520102
1,R1: Growth / trend,vix_level,17.460813910462136,-0.456265836371179
2,R2: Stress / risk-off,cpi_yoy,0.038600456057462006,1.0416374047474783
2,R2: Stress / risk-off,dgs10_level,2.5782653061224488,-0.18422379288898652
2,R2: Stress / risk-off,gld_ret_20d,0.007878243229420323,-0.16546335339045062
2,R2: Stress / risk-off,nfci_level,-0.4164285714285714,1.2614495372057193
2,R2: Stress / risk-off,spy_drawdown_60d,-0.08640079121129597,-1.4111004784121373
2,R2: Stress / risk-off,spy_ret_20d,-0.04374402498395862,-1.4128370919286595
2,R2: Stress / risk-off,spy_vol_20d,0.015562915842577511,1.392912820988732
2,R2: Stress / risk-off,tlt_ret_20d,0.0029740590623323366,0.9004315795318577
2,R2: Stress / risk-off,tnx_level,2.5772448924123026,-0.1752176198868685
2,R2: Stress / risk-off,unrate_level,4.227551020408163,-0.9696906199457425
2,R2: Stress / risk-off,vix_change_5d,0.9536735281652334,1.4122405844307213
2,R2: Stress / risk-off,vix_level,25.28816337001567,1.3873853130161469
