k,inertia,jump_penalty_cost,objective,silhouette,jumps,min_duration_weeks,average_duration_weeks,max_duration_weeks,smoothed_weeks,iterations
2,31094.345504918936,768.0,31862.345504918936,0.32564030390601295,24,3,23.16,95,0,5
3,26732.84106801803,928.0,27660.84106801803,0.1843894376093834,29,3,19.3,95,3,2
4,23927.781989521365,864.0,24791.781989521365,0.16698320660088617,27,3,20.678571428571427,67,3,4
5,21622.98973257953,832.0,22454.98973257953,0.17284495065016778,26,3,21.444444444444443,72,7,2
6,19851.102732856154,1088.0,20939.102732856154,0.17611363361898413,34,3,16.542857142857144,72,9,4
7,18346.260276895122,1248.0,19594.260276895122,0.16434940343047746,39,3,14.475,59,8,8
8,17105.95165904772,1344.0,18449.95165904772,0.17338542583379196,42,3,13.465116279069768,60,3,3
9,16622.983681268848,1280.0,17902.983681268848,0.1686352888377138,40,3,14.121951219512194,60,5,6
10,15920.721075024878,1376.0,17296.721075024878,0.16656893050367957,43,3,13.159090909090908,41,8,8
