k,inertia,jump_penalty_cost,objective,silhouette,jumps,average_duration_weeks,iterations
2,24666.031578425365,12.0,24678.031578425365,0.1827932642453445,3,144.75,2
3,22621.836958911234,20.0,22641.836958911234,0.18648261237833672,5,96.5,4
4,20833.20621243291,164.0,20997.20621243291,0.1866873572490322,41,13.785714285714286,4
5,19701.217022551617,68.0,19769.217022551617,0.18246143678005508,17,32.166666666666664,2
6,18535.449321781532,156.0,18691.449321781532,0.1592682957653852,39,14.475,10
7,17417.78651038497,308.0,17725.78651038497,0.15581341204480567,77,7.423076923076923,10
8,16850.66822443426,252.0,17102.66822443426,0.14903168543675827,63,9.046875,4
