regime,regime_name,feature,mean,z_score
0,R0: Calm / risk-on,cpi_yoy,0.01958743899147547,-0.5008608772142346
0,R0: Calm / risk-on,dgs10_level,2.079742857142857,-0.17759259328276794
0,R0: Calm / risk-on,gld_ret_20d,0.0009266518113619313,-1.100727819455467
0,R0: Calm / risk-on,nfci_level,-0.5484211999999999,-1.5611688766790268
0,R0: Calm / risk-on,spy_drawdown_60d,-0.017052769537829804,0.8941670298615002
0,R0: Calm / risk-on,spy_ret_20d,0.013774411370938197,0.25080743226621044
0,R0: Calm / risk-on,spy_vol_20d,0.007526020300607141,-1.1071962370403152
0,R0: Calm / risk-on,tlt_ret_20d,0.003793679313166733,1.7019789488217627
0,R0: Calm / risk-on,tnx_level,2.076699996505465,-0.17798650036760222
0,R0: Calm / risk-on,unrate_level,4.941714285714285,-0.40886228591981305
0,R0: Calm / risk-on,vix_change_5d,-0.260314279283796,-0.520403087205006
0,R0: Calm / risk-on,vix_level,15.57477143423898,-1.107247442248003
1,R1: Growth / trend,cpi_yoy,0.04004359993319399,0.595362138152804
1,R1: Growth / trend,dgs10_level,4.024941860465116,1.4526671887134306
1,R1: Growth / trend,gld_ret_20d,0.02031503976300712,0.5402546661706897
1,R1: Growth / trend,nfci_level,-0.3712541860465116,-0.04462240757983875
1,R1: Growth / trend,spy_drawdown_60d,-0.022740937289447247,0.7566496770092691
1,R1: Growth / trend,spy_ret_20d,0.02011206994227464,0.38892322850524197
1,R1: Growth / trend,spy_vol_20d,0.008921432831322169,-0.810682950759384
1,R1: Growth / trend,tlt_ret_20d,-0.002487652657725074,-0.31845291652205227
1,R1: Growth / trend,tnx_level,4.023273244846699,1.4516516844245972
1,R1: Growth / trend,unrate_level,3.908720930232558,-0.6718179013919876
1,R1: Growth / trend,vix_change_5d,-0.36389533863511203,-0.5802825883114908
1,R1: Growth / trend,vix_level,17.336337239243264,-0.8710119868404147
2,R2: Transition / mixed,cpi_yoy,0.003756675445078392,-1.3492139675050896
2,R2: Transition / mixed,dgs10_level,0.6683333333333333,-1.3604865689958914
2,R2: Transition / mixed,gld_ret_20d,0.030021412670940273,1.361776701968564
2,R2: Transition / mixed,nfci_level,-0.22920416666666665,1.1713232163754805
2,R2: Transition / mixed,spy_drawdown_60d,-0.05527934501868966,-0.030000065463539012
2,R2: Transition / mixed,spy_ret_20d,0.04899057915994249,1.0182689482058416
2,R2: Transition / mixed,spy_vol_20d,0.015495547853915685,0.5862605385893805
2,R2: Transition / mixed,tlt_ret_20d,-0.003183027093350967,-0.542124691011079
2,R2: Transition / mixed,tnx_level,0.6631666670242945,-1.3613726848648613
2,R2: Transition / mixed,unrate_level,13.316666666666668,1.7230398663999296
2,R2: Transition / mixed,vix_change_5d,-0.45000028610229476,-0.6300592688110369
2,R2: Transition / mixed,vix_level,29.930833021799724,0.817977682673486
3,R3: Stress / risk-off,cpi_yoy,0.05234746616790224,1.2547127065665202
3,R3: Stress / risk-off,dgs10_level,2.393555555555556,0.08541197356522848
3,R3: Stress / risk-off,gld_ret_20d,0.0044643823933215665,-0.8013035486837868
3,R3: Stress / risk-off,nfci_level,-0.3152855555555556,0.43446806788338604
3,R3: Stress / risk-off,spy_drawdown_60d,-0.121080724687078,-1.6208166414072307
3,R3: Stress / risk-off,spy_ret_20d,-0.07381417469511767,-1.6579996089772937
3,R3: Stress / risk-off,spy_vol_20d,0.01900325592486233,1.3316186492103186
3,R3: Stress / risk-off,tlt_ret_20d,-0.004113449951837167,-0.8414013412886315
3,R3: Stress / risk-off,tnx_level,2.3940666609340244,0.08770750080786704
3,R3: Stress / risk-off,unrate_level,4.024444444444445,-0.642359679088129
3,R3: Stress / risk-off,vix_change_5d,3.6337779151068794,1.7307449443275336
3,R3: Stress / risk-off,vix_level,32.483333587646484,1.1602817464149306
