regime,regime_name,weeks,first_week,last_week,vix_level,spy_ret_20d,spy_vol_20d,spy_drawdown_60d,tlt_ret_20d,gld_ret_20d,next_return_spy_mean,next_return_spy_vol,next_return_tlt_mean,next_return_gld_mean,share,next_return_spy_ann,next_return_spy_ann_vol,run_count,mean_duration_weeks,max_duration_weeks
0,R0: Calm / risk-on,350,2014-03-28,2022-02-04,15.57477143423898,0.013774411370938197,0.007526020300607141,-0.017052769537829804,0.003793679313166733,0.0009266518113619313,0.0016929637205982807,0.018572187602673387,0.0010844595487272616,0.0004656836102776696,0.6044905008635578,0.08803411347111059,0.13392594939795105,13,26.923076923076923,80
1,R1: Growth / trend,172,2022-03-18,2026-03-13,17.336337239243264,0.02011206994227464,0.008921432831322169,-0.022740937289447247,-0.002487652657725074,0.02031503976300712,0.002530876607319729,0.020936059350779267,0.00011215784665226417,0.004588557109653462,0.2970639032815199,0.1316055835806259,0.1509720709907839,8,21.5,70
2,R2: Transition / mixed,12,2020-05-01,2020-07-31,29.930833021799724,0.04899057915994249,0.015495547853915685,-0.05527934501868966,-0.003183027093350967,0.030021412670940273,0.012374926277580467,0.03028135334473213,-0.0001354622374439671,0.013539738655612742,0.02072538860103627,0.6434961664341843,0.21836194434974932,1,12.0,12
3,R3: Stress / risk-off,45,2015-08-21,2025-04-11,32.483333587646484,-0.07381417469511767,0.01900325592486233,-0.121080724687078,-0.004113449951837167,0.0044643823933215665,0.008151864392475108,0.047131181591201006,-0.0061702479190459585,0.0040541074297131535,0.07772020725388601,0.4238969484087056,0.3398677838005593,20,2.25,7
