regime,regime_name,weeks,first_week,last_week,vix_level,spy_ret_20d,spy_vol_20d,spy_drawdown_60d,tlt_ret_20d,gld_ret_20d,next_return_spy_mean,next_return_spy_vol,next_return_tlt_mean,next_return_gld_mean,share,next_return_spy_ann,next_return_spy_ann_vol,run_count,min_duration_weeks,mean_duration_weeks,max_duration_weeks
0,R0: Calm / risk-on,309,2014-03-28,2025-10-03,15.444789682777182,0.019265064249542885,0.0071033540433026,-0.013722937032378557,-0.00010559016464610144,0.004152986149998431,0.0031396037868816674,0.017803502936729228,0.000585831487760567,0.0017853726581492535,0.533678756476684,0.16325939691784672,0.1283828854425019,10,3,30.9,95
1,R1: Growth / trend,172,2014-08-01,2026-03-13,17.460813910462136,0.022561504034057066,0.008660374948329101,-0.019094361752652115,0.0024289505947316047,0.013513538233325276,0.004042465487062965,0.019327390810375402,3.726158875016336e-05,0.0012078503721711423,0.2970639032815199,0.2102082053272742,0.13937179717548004,9,4,19.11111111111111,54
2,R2: Stress / risk-off,98,2014-10-03,2025-04-11,25.28816337001567,-0.04374402498395862,0.015562915842577511,-0.08640079121129597,0.0029740590623323366,0.007878243229420323,-0.0012475565536788572,0.03833917224946568,-0.0006925064745990611,0.005486758870208864,0.1692573402417962,-0.06487294079130057,0.2764677028085891,11,3,8.909090909090908,29
