feature,pc1,pc2,pc3,pc4,pc5,pc6
spy_ret_1d,-0.06994986840138354,-0.06747213595239163,-0.03274439679232971,0.09281948342227704,-0.17133539341228565,-0.13929509880661567
spy_ret_5d,-0.10591812722898575,-0.1230537870667554,0.041377004716629695,0.13638809639249833,-0.2663371008828213,-0.22377167872404674
spy_ret_20d,-0.15619556397572143,-0.2104462793436861,0.030446864836719434,0.1330767595094662,-0.058062485841581246,0.00217385756808941
spy_vol_5d,0.23298141619626928,0.17096950753107198,-0.022369061559713382,0.007980136685684203,-0.006816276616691666,-0.06600541860802944
spy_vol_20d,0.23204382595525452,0.18980023784187716,-0.03306777918651323,0.08455399431953048,-0.12557223864025652,-0.1713664900331931
spy_drawdown_60d,-0.3003512795799377,-0.3211305767928793,0.12032793665374136,-0.011441957235119316,-0.09278194952958907,0.1821282223967547
spy_ma_gap_5_20,-0.14618599904727844,-0.19100623084193197,0.036032373180689914,0.12968100563682183,-0.05260035095201898,-0.016760765341045564
spy_intraday_range,0.23655591888367625,0.2153793210104127,-0.04591827820439415,-0.03702968884006866,0.09972860960520985,0.024558959473205078
spy_volume_z_20,0.03446086618658013,0.049251195307827844,-0.01020512107501137,-0.06928888367024383,0.14659966863730317,0.1599056726066745
tlt_ret_1d,0.03937719721837355,0.025284437927818815,0.10845125307823406,-0.11216045761994306,0.03337360606886758,-0.042802633647759436
tlt_ret_5d,0.027407060106899042,0.007381666789847815,0.2027888824057253,-0.1328213709663531,0.12350130355634648,-0.13767431126349572
tlt_ret_20d,0.03243463423935127,-0.00463671039951949,0.2427855863871082,-0.11643859978529297,-0.023386029460250563,-0.08093606402702958
tlt_vol_5d,0.09068175764439036,0.07001834605873344,-0.003973202367873505,0.0013200577384761313,-0.14722319505101614,0.12215273537663496
tlt_vol_20d,0.11724368178085641,0.07171514412763873,-0.04111768049704722,0.06755338142228035,-0.2750735745894182,0.08635615776282679
tlt_drawdown_60d,0.0007559639617452632,-0.05771608580794015,0.28397393114990066,-0.12928064552637328,0.06725606956600819,-0.16408574974532503
tlt_ma_gap_5_20,0.02603045685996768,-0.007830507326787382,0.21527169273070967,-0.10075523692837865,-0.007663338422312058,-0.08730964508358788
tlt_intraday_range,0.11296142917989473,0.09328932724384455,-0.052554771870461786,-0.029383109532958775,-0.10521166680404717,0.1445301585256195
tlt_volume_z_20,0.03174395586875195,0.027690520036087147,-0.006306675065248925,-0.06009050447819471,0.05408591293526933,0.14313187961289925
