week_end,eval_split,action_id,action_name,reward,portfolio_return,turnover,transaction_cost
2017-05-19,train,1,spy_only,0.0132669452787718,0.0142669452787718,1.0,0.001
2017-05-26,train,2,tlt_only,0.0184867707067514,0.0194867707067514,1.0,0.001
2017-06-02,train,1,spy_only,-0.0041128162948327,-0.0031128162948327,1.0,0.001
2017-06-09,train,2,tlt_only,0.014070579309445103,0.0156747808883306,1.0,0.001
2017-06-16,train,2,tlt_only,0.010753446090051504,0.0113179644957583,0.0,0.0
2017-06-23,train,1,spy_only,-0.006629749616909087,-0.0054703451774771,1.0,0.001
2017-06-30,train,1,spy_only,0.0011269984266444766,0.0012820659519119,0.0,0.0
2017-07-07,train,3,gld_only,0.011248587888574921,0.0129250336532542,1.0,0.001
2017-07-14,train,3,gld_only,0.020422628126140097,0.0213240178534501,0.0,0.0
2017-07-21,train,3,gld_only,0.011134738815822711,0.0119906110981138,0.0,0.0
2017-07-28,train,2,tlt_only,0.008971173953009554,0.0105857252298904,1.0,0.001
2017-08-04,train,3,gld_only,0.024575788113005023,0.0262432039248181,1.0,0.001
2017-08-11,train,2,tlt_only,-2.1780010234353077e-05,0.0015024375532153,1.0,0.001
2017-08-18,train,2,tlt_only,0.005319713328357993,0.0055283694454646,0.0,0.0
2017-08-25,train,3,gld_only,0.02536455678823481,0.0270490447499367,1.0,0.001
2017-09-01,train,2,tlt_only,0.016373150700853906,0.0177513736808547,1.0,0.001
2017-09-08,train,1,spy_only,0.014198260593178674,0.0156000752779426,1.0,0.001
2017-09-15,train,1,spy_only,0.000574200305184314,0.0010033692480644,0.0,0.0
2017-09-22,train,1,spy_only,0.006793261731535514,0.0071759559057855,0.0,0.0
2017-09-29,train,1,spy_only,0.012221312158555191,0.0124986379769411,0.0,0.0
2017-10-06,train,3,gld_only,0.02075656733125793,0.0225452427078762,1.0,0.001
2017-10-13,train,1,spy_only,0.007289584055726919,0.0084719976477949,1.0,0.001
2017-10-20,train,1,spy_only,0.0021173690133605284,0.0023338677163209,0.0,0.0
2017-10-27,train,2,tlt_only,0.01985516594754904,0.0216328420686742,1.0,0.001
2017-11-03,train,3,gld_only,0.0028270469921085075,0.0042281088975548,1.0,0.001
2017-11-10,train,2,tlt_only,0.016712707253793545,0.0184521586479431,1.0,0.001
2017-11-17,train,1,spy_only,0.008473490938678578,0.0096950470460248,1.0,0.001
2017-11-24,train,1,spy_only,0.01538461913066849,0.0157474454973853,0.0,0.0
2017-12-01,train,1,spy_only,0.0036588326313451553,0.0039702452661065,0.0,0.0
2017-12-08,train,2,tlt_only,0.011844904928796224,0.013103156634046,1.0,0.001
2017-12-15,train,3,gld_only,0.01301208124231507,0.01476759633935,1.0,0.001
2017-12-22,train,2,tlt_only,0.014916609007716866,0.0167512129433491,1.0,0.001
2017-12-29,train,1,spy_only,0.02308200184041508,0.0245824055405372,1.0,0.001
2018-01-05,train,1,spy_only,0.015929649769567972,0.0164579101693458,0.0,0.0
2018-01-12,train,1,spy_only,0.008462255641226822,0.0089595045440333,0.0,0.0
2018-01-19,train,1,spy_only,0.021704033772795138,0.0220034754141373,0.0,0.0
2018-01-26,train,0,cash_only,-0.0007269230769230769,0.0002730769230769231,1.0,0.001
2018-02-02,train,0,cash_only,0.0002730769230769231,0.0002730769230769231,0.0,0.0
2018-02-09,train,1,spy_only,0.04139827952071274,0.0443975455560918,1.0,0.001
2018-02-16,train,1,spy_only,0.003972167609446042,0.0058586314980773,0.0,0.0
2018-02-23,train,2,tlt_only,0.0024846721140069743,0.0038822335170101,1.0,0.001
2018-03-02,train,1,spy_only,0.03409456417614851,0.0363828311971827,1.0,0.001
2018-03-09,train,2,tlt_only,0.014695657146393268,0.0161139643019743,1.0,0.001
2018-03-16,train,3,gld_only,0.022524419654752763,0.0241573208113292,1.0,0.001
2018-03-23,train,2,tlt_only,0.012987037689052492,0.0143961413230424,1.0,0.001
2018-03-30,train,0,cash_only,-0.0006800490380772306,0.0003211538461538461,1.0,0.001
2018-04-06,train,1,spy_only,0.018282406624657303,0.0209068835342445,1.0,0.001
2018-04-13,train,1,spy_only,0.004820240093463522,0.0055063952787552,0.0,0.0
2018-04-20,train,2,tlt_only,0.0021865588850866957,0.0036300906207549,1.0,0.001
2018-04-27,train,2,tlt_only,0.002563206332277563,0.0030473801739003,0.0,0.0
2018-05-04,train,1,spy_only,0.024124537375366847,0.025674455472999,1.0,0.001
2018-05-11,train,0,cash_only,-0.000673076923076923,0.00032692307692307697,1.0,0.001
2018-05-18,train,2,tlt_only,0.018898060038069264,0.0205615389369884,1.0,0.001
2018-05-25,train,2,tlt_only,0.00734484669514673,0.0080210480184346,0.0,0.0
2018-06-01,train,1,spy_only,0.015377183498064011,0.0167759134998843,1.0,0.001
2018-06-08,train,2,tlt_only,0.005634560597460862,0.0071116146082268,1.0,0.001
2018-06-15,train,2,tlt_only,0.000958157999422899,0.0012459758714207,0.0,0.0
2018-06-22,train,2,tlt_only,0.009561173614169662,0.0098730077035853,0.0,0.0
2018-06-29,train,1,spy_only,0.013725207495249383,0.0152609942473846,1.0,0.001
2018-07-06,train,1,spy_only,0.014491459293652942,0.0151405086310649,0.0,0.0
2018-07-13,train,1,spy_only,-0.00025848586210393254,0.0003217383931781,0.0,0.0
2018-07-20,train,1,spy_only,0.005905380521065845,0.0062213275968039,0.0,0.0
2018-07-27,train,1,spy_only,0.007482635755915335,0.007746642721395,0.0,0.0
2018-08-03,train,2,tlt_only,0.010539588990341561,0.0120785747726896,1.0,0.001
2018-08-10,train,1,spy_only,0.005525167652707316,0.0067100546828389,1.0,0.001
2018-08-17,train,3,gld_only,0.016378531099682417,0.0181040440418769,1.0,0.001
2018-08-24,train,1,spy_only,0.00851767874184006,0.0097387228925127,1.0,0.001
2018-08-31,train,3,gld_only,-0.004185320301490689,-0.002466732217667,1.0,0.001
2018-09-07,train,1,spy_only,0.009985171660756926,0.0114048805515503,1.0,0.001
2018-09-14,train,3,gld_only,0.002980623158966627,0.0041585669320751,1.0,0.001
2018-09-21,train,0,cash_only,-0.0006308108666059512,0.0003692307692307692,1.0,0.001
2018-09-28,train,3,gld_only,0.007926610516190093,0.0092231367135915,1.0,0.001
2018-10-05,train,3,gld_only,0.012206721375355556,0.0125659074413682,0.0,0.0
2018-10-12,train,3,gld_only,0.0064087006786696646,0.0067690597637213,0.0,0.0
2018-10-19,train,2,tlt_only,0.009317062170922947,0.0112565048767303,1.0,0.001
2018-10-26,train,1,spy_only,0.02232749804908216,0.024724093616298,1.0,0.001
2018-11-02,train,1,spy_only,0.020308453008005132,0.0215894877447591,0.0,0.0
2018-11-09,train,2,tlt_only,0.010143624156031617,0.0119097327735402,1.0,0.001
2018-11-16,train,2,tlt_only,0.0031047434853426754,0.0038363040666278,0.0,0.0
2018-11-23,train,1,spy_only,0.044464389188130594,0.0471033600803352,1.0,0.001
2018-11-30,train,2,tlt_only,0.02754920735606143,0.0290884300927054,1.0,0.001
2018-12-07,train,2,tlt_only,2.4267339471578577e-06,0.0005912629773847,0.0,0.0
2018-12-14,train,2,tlt_only,0.020704858954109905,0.0213227177887338,0.0,0.0
2018-12-21,train,1,spy_only,0.02642812465146948,0.0292897554664586,1.0,0.001
2018-12-28,train,1,spy_only,0.016788025070143615,0.0187284911282934,0.0,0.0
2019-01-04,train,1,spy_only,0.024039957619473636,0.026110285550388,0.0,0.0
2019-01-11,train,1,spy_only,0.02867067230485523,0.0288824705620971,0.0,0.0
