pca_components,explained_variance,compression_ratio,k,jump_penalty,silhouette,inertia,objective,jumps,min_duration_weeks,average_duration_weeks,max_duration_weeks,min_cluster_size,max_cluster_share,cluster_sizes,market_regime_feasible,attention_ready,tuning_score
6,0.539383616451501,9.0,2,0.0,0.3073260686565855,30601.030950115794,30601.030950115794,71,1,8.041666666666666,73,130,0.7754749568221071,"130,449",False,False,0.2873260686565855
6,0.539383616451501,9.0,2,0.25,0.3073260686565855,30601.030950115794,30618.780950115794,71,1,8.041666666666666,73,130,0.7754749568221071,"130,449",False,False,0.2873260686565855
6,0.539383616451501,9.0,2,0.5,0.3073260686565855,30601.030950115794,30636.530950115794,71,1,8.041666666666666,73,130,0.7754749568221071,"130,449",False,False,0.2873260686565855
6,0.539383616451501,9.0,2,1.0,0.3070938973615351,30603.450613622084,30670.450613622084,67,1,8.514705882352942,73,130,0.7754749568221071,"130,449",False,False,0.28709389736153507
6,0.539383616451501,9.0,2,2.0,0.3105192841619918,30597.642994043166,30723.642994043166,63,1,9.046875,74,125,0.7841105354058722,"454,125",False,False,0.2905192841619918
6,0.539383616451501,9.0,2,4.0,0.3127489471881276,30623.632267859826,30843.632267859826,55,1,10.339285714285714,74,123,0.7875647668393783,"456,123",False,False,0.2927489471881276
6,0.539383616451501,9.0,2,8.0,0.313558060571654,30660.41805933076,31052.41805933076,49,1,11.58,74,122,0.7892918825561313,"457,122",False,False,0.29355806057165396
6,0.539383616451501,9.0,2,16.0,0.3239044541371559,30801.712926631015,31377.712926631015,36,1,15.64864864864865,88,113,0.8048359240069085,"466,113",False,False,0.3039044541371559
6,0.539383616451501,9.0,2,32.0,0.32564030390601295,31094.345504918936,31862.345504918936,24,3,23.16,95,104,0.8203799654576857,"475,104",False,False,0.30564030390601293
6,0.539383616451501,9.0,2,64.0,0.3399164369416391,31301.239865614894,32453.239865614894,18,3,30.473684210526315,102,97,0.8324697754749568,"97,482",False,False,0.31991643694163907
6,0.539383616451501,9.0,3,0.0,0.1843193590675444,26292.57567277276,26292.57567277276,77,1,7.423076923076923,55,111,0.5164075993091537,"169,299,111",False,False,0.1843193590675444
6,0.539383616451501,9.0,3,0.25,0.1826656374218191,26292.279229832122,26311.029229832122,75,1,7.618421052631579,55,111,0.5129533678756477,"171,297,111",False,False,0.1826656374218191
6,0.539383616451501,9.0,3,0.5,0.1853162570727364,26294.248418285562,26329.748418285562,71,1,8.041666666666666,55,110,0.5164075993091537,"299,110,170",False,False,0.1853162570727364
6,0.539383616451501,9.0,3,1.0,0.1853162570727364,26294.248418285562,26365.248418285562,71,1,8.041666666666666,55,110,0.5164075993091537,"299,110,170",False,False,0.1853162570727364
6,0.539383616451501,9.0,3,2.0,0.18582703967109243,26299.093532491817,26433.093532491817,67,1,8.514705882352942,55,111,0.5164075993091537,"299,111,169",True,True,0.18582703967109243
6,0.539383616451501,9.0,3,4.0,0.18628232285376287,26311.98654219137,26559.98654219137,62,1,9.19047619047619,55,111,0.5181347150259067,"300,111,168",True,True,0.18628232285376287
6,0.539383616451501,9.0,3,8.0,0.1872603429907889,26390.722677440222,26758.722677440222,46,1,12.319148936170214,55,103,0.5233160621761658,"303,103,173",True,True,0.1872603429907889
6,0.539383616451501,9.0,3,16.0,0.18589143927372587,26473.749230792713,27081.749230792713,38,1,14.846153846153847,79,99,0.5267702936096719,"305,99,175",True,True,0.18589143927372587
6,0.539383616451501,9.0,3,32.0,0.18676720561434074,26584.705554187905,27608.705554187905,32,1,17.545454545454547,88,101,0.531951640759931,"308,101,170",True,True,0.18676720561434074
6,0.539383616451501,9.0,3,64.0,0.18304383303877755,27040.754642199085,28320.754642199085,20,6,27.571428571428573,101,80,0.542314335060449,"314,80,185",True,True,0.18304383303877755
6,0.539383616451501,9.0,4,0.0,0.18032139954948778,23620.481815333318,23620.481815333318,71,1,8.041666666666666,48,14,0.5112262521588946,"170,99,296,14",False,False,0.1603213995494878
6,0.539383616451501,9.0,4,0.25,0.18032139954948778,23620.481815333318,23638.231815333318,71,1,8.041666666666666,48,14,0.5112262521588946,"170,99,296,14",False,False,0.1603213995494878
6,0.539383616451501,9.0,4,0.5,0.18032139954948778,23620.481815333318,23655.981815333318,71,1,8.041666666666666,48,14,0.5112262521588946,"170,99,296,14",False,False,0.1603213995494878
6,0.539383616451501,9.0,4,1.0,0.181330851961137,23622.521340284326,23689.521340284326,67,1,8.514705882352942,48,14,0.5146804835924007,"168,99,298,14",False,False,0.161330851961137
6,0.539383616451501,9.0,4,2.0,0.18150101569759344,23627.21251821559,23753.21251821559,63,1,9.046875,54,14,0.5181347150259067,"167,98,300,14",False,False,0.16150101569759345
6,0.539383616451501,9.0,4,4.0,0.18177477156664512,23634.57689013603,23878.57689013603,61,1,9.338709677419354,54,14,0.5181347150259067,"166,99,300,14",False,False,0.16177477156664513
6,0.539383616451501,9.0,4,8.0,0.18203365487445083,23657.77339163778,24105.77339163778,56,1,10.157894736842104,54,14,0.5198618307426598,"165,99,301,14",False,False,0.16203365487445084
