regime,regime_name,feature,mean,z_score
0,R0: Calm / risk-on,cpi_yoy,0.0194803384992231,-0.3958740323912212
0,R0: Calm / risk-on,dgs10_level,2.0924857142857145,-0.2214932194351521
0,R0: Calm / risk-on,gld_ret_20d,0.0006730557886995213,-1.3682439921068221
0,R0: Calm / risk-on,nfci_level,-0.549471,-1.303911972762392
0,R0: Calm / risk-on,spy_drawdown_60d,-0.017587473583370605,0.9323274760331525
0,R0: Calm / risk-on,spy_ret_20d,0.012958517318280955,0.7948385585944875
0,R0: Calm / risk-on,spy_vol_20d,0.007547525521888353,-0.9015440356527998
0,R0: Calm / risk-on,tlt_ret_20d,0.004288944534846249,-0.20786687662929454
0,R0: Calm / risk-on,tnx_level,2.089468568052564,-0.22192190475435206
0,R0: Calm / risk-on,unrate_level,4.924857142857143,-0.4156035981925037
0,R0: Calm / risk-on,vix_change_5d,-0.1831142725263323,-0.7176236354283473
0,R0: Calm / risk-on,vix_level,15.661228583199637,-0.8897159911751842
1,R1: Inflation hedge / mixed,cpi_yoy,0.045021838881422055,1.3737188041387376
1,R1: Inflation hedge / mixed,dgs10_level,3.8602499999999997,1.3203769521396689
1,R1: Inflation hedge / mixed,gld_ret_20d,0.01734595997276849,0.37439423890579915
1,R1: Inflation hedge / mixed,nfci_level,-0.36607365000000003,0.17776174826229468
1,R1: Inflation hedge / mixed,spy_drawdown_60d,-0.0346299225969737,0.4547456538756113
1,R1: Inflation hedge / mixed,spy_ret_20d,0.009444640853708176,0.6155830648898654
1,R1: Inflation hedge / mixed,spy_vol_20d,0.009861222801648924,-0.4928453642910271
1,R1: Inflation hedge / mixed,tlt_ret_20d,-0.007683953558481044,-1.1075093053593101
1,R1: Inflation hedge / mixed,tnx_level,3.8589849895238877,1.320532364548715
1,R1: Inflation hedge / mixed,unrate_level,3.889,-0.962862643379509
1,R1: Inflation hedge / mixed,vix_change_5d,-0.14784999847412109,-0.6965375265344272
1,R1: Inflation hedge / mixed,vix_level,18.838300042152405,-0.5071420523564032
2,R2: Stress / risk-off,cpi_yoy,0.01108043680723535,-0.9778447717475156
2,R2: Stress / risk-off,dgs10_level,1.086551724137931,-1.098883732704516
2,R2: Stress / risk-off,gld_ret_20d,0.02327267628848705,0.9938497532010231
2,R2: Stress / risk-off,nfci_level,-0.24868482758620689,1.1261502245000976
2,R2: Stress / risk-off,spy_drawdown_60d,-0.10035500102047214,-1.3870731299087637
2,R2: Stress / risk-off,spy_ret_20d,-0.030270349434529234,-1.4104216234843527
2,R2: Stress / risk-off,spy_vol_20d,0.02054510862327575,1.3943893999438275
2,R2: Stress / risk-off,tlt_ret_20d,0.02456103634575108,1.315376181988605
2,R2: Stress / risk-off,tnx_level,1.083724134954913,-1.0986104597943627
2,R2: Stress / risk-off,unrate_level,8.320689655172414,1.3784662415720121
2,R2: Stress / risk-off,vix_change_5d,3.382069028657058,1.4141611619627745
2,R2: Stress / risk-off,vix_level,34.65000007892477,1.3968580435315878
