k,inertia,jump_penalty_cost,objective,silhouette,jumps,average_duration_weeks,iterations
2,12351.367797763787,3.0,12354.367797763787,0.3170278534157743,3,144.75,2
3,10416.635841889503,21.0,10437.635841889503,0.3315109657924411,21,26.318181818181817,2
4,8660.732600168529,5.0,8665.732600168529,0.3444118609487818,5,96.5,14
5,7402.878040967731,81.0,7483.878040967731,0.3360051164572186,81,7.060975609756097,2
6,6339.312816108206,106.0,6445.312816108206,0.3386690755463035,106,5.411214953271028,2
7,5583.685140326819,160.0,5743.685140326819,0.28991041391121275,160,3.5962732919254656,5
8,5266.112436690966,151.0,5417.112436690966,0.2764885777018584,151,3.8092105263157894,15
