k,inertia,jump_penalty_cost,objective,silhouette,jumps,min_duration_weeks,average_duration_weeks,max_duration_weeks,smoothed_weeks,iterations
2,31070.753543510822,208.0,31278.753543510822,0.3175666187370611,26,3,21.444444444444443,95,14,5
3,26692.01986787212,248.0,26940.01986787212,0.18251946110801356,31,3,18.09375,95,10,4
4,23821.052115562816,272.0,24093.052115562816,0.17413211980384485,34,3,16.542857142857144,57,17,4
5,21546.417804948986,264.0,21810.417804948986,0.1764892063017966,33,3,17.029411764705884,53,21,3
6,19608.307280727055,320.0,19928.307280727055,0.16904129648371138,40,3,14.121951219512194,50,27,4
7,18250.220002041664,344.0,18594.220002041664,0.16785124177875216,43,3,13.159090909090908,60,28,3
8,17101.2519133697,360.0,17461.2519133697,0.17666823237658574,45,3,12.58695652173913,60,23,8
9,16484.376221192128,376.0,16860.376221192128,0.17633400507246078,47,3,12.0625,60,24,11
10,16018.930316400823,440.0,16458.930316400823,0.17057922806793963,55,3,10.339285714285714,35,37,4
