regime,regime_name,weeks,first_week,last_week,vix_level,spy_ret_20d,spy_vol_20d,spy_drawdown_60d,tlt_ret_20d,gld_ret_20d,next_return_spy_mean,next_return_spy_vol,next_return_tlt_mean,next_return_gld_mean,share,next_return_spy_ann,next_return_spy_ann_vol,run_count,min_duration_weeks,mean_duration_weeks,max_duration_weeks
0,R0: Calm / risk-on,303,2014-03-28,2025-10-03,15.301221164539703,0.02001971892399769,0.007046395775779155,-0.013025397590766428,-0.0005948037829457884,0.0024971979398293446,0.0025427872762148265,0.01793078887190555,0.0009011330346275737,0.0018980054330420676,0.5233160621761658,0.13222493836317098,0.12930075737434912,18,1,16.833333333333332,55
1,R1: Growth / trend,173,2014-08-15,2026-03-13,17.562601106015244,0.02298428547258571,0.008775435053295401,-0.019299233874237112,0.003150679095773985,0.01494427655411965,0.00434396426800175,0.01917520365888497,-0.0005214620769151266,0.0007039613516943589,0.2987910189982729,0.225886141936091,0.1382743600191489,10,4,17.3,54
2,R2: Stress / risk-off,103,2014-08-01,2025-10-10,25.042136025660245,-0.04364744778825249,0.015111441347422493,-0.08452846964002811,0.0030268737105867386,0.010074352556637507,0.00020592940391594172,0.03764164056495351,-0.0006142240943058503,0.005827687617545184,0.17789291882556132,0.01070832900362897,0.27143773029905033,19,1,5.421052631578948,26
