k,inertia,jump_penalty_cost,objective,silhouette,jumps,min_duration_weeks,average_duration_weeks,max_duration_weeks,iterations
2,30660.41805933076,392.0,31052.41805933076,0.313558060571654,49,1,11.58,74,5
3,26390.722677440222,368.0,26758.722677440222,0.1872603429907889,46,1,12.319148936170214,55,4
4,23262.893970632198,488.0,23750.893970632198,0.1840624145502179,61,1,9.338709677419354,41,4
5,21086.403773402577,440.0,21526.403773402577,0.18202012206784615,55,1,10.339285714285714,48,3
6,18767.987285895684,624.0,19391.987285895684,0.18357317111318042,78,1,7.329113924050633,50,4
7,17443.347913370482,616.0,18059.347913370482,0.1811416217533974,77,1,7.423076923076923,45,3
8,16376.68763361701,608.0,16984.68763361701,0.19015493617814488,76,1,7.51948051948052,45,8
9,15746.30680828477,592.0,16338.30680828477,0.19077051555468444,74,1,7.72,45,11
10,14950.04116346754,784.0,15734.04116346754,0.18900249765864027,98,1,5.848484848484849,29,4
