model,split,weeks,cumulative_return,annualized_return,annualized_volatility,annualized_excess_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,average_turnover,total_transaction_cost,win_rate,mean_reward
attention_dqn,validation,104.0,-0.020546823765745903,-0.010326732585822507,0.11949223241321184,-0.03713309343503845,-0.31042575454084786,-0.40222203752017316,-0.20630095161520645,-0.050056640577615844,0.16538461538461538,0.0172,0.625,-0.000790328290903554
attention_dqn,test,115.0,0.0737859038147235,0.03271426657887133,0.12464842592163712,-0.005797047975596944,-0.046516200165637914,-0.0681025513829908,-0.09895630033032721,0.33059306451097553,0.24695652173913046,0.028399999999999998,0.5826086956521739,-3.519058311830549e-05
ppo,validation,104.0,-0.015626290172007118,-0.007843908536568578,0.1746905495919154,-0.026564507505699376,-0.15226761755910057,-0.27256649763565316,-0.2551260361846628,-0.030745229510370623,0.22115384615384615,0.023,0.4807692307692308,-0.0009425467221362044
ppo,test,115.0,0.278802081338517,0.11761875630141327,0.1358483044825069,0.0747510152152988,0.550359388069594,0.9697897695653137,-0.12578572021746404,0.9350724080449566,0.3130434782608696,0.036000000000000004,0.5565217391304348,0.001455357076107162
a2c,validation,104.0,-0.1566922883749332,-0.0816821293119322,0.1730001341052133,-0.10414271766088272,-0.6028526508474173,-1.0635791142986564,-0.26409459229019006,-0.30929118466075584,0.17980769230769234,0.0187,0.4230769230769231,-0.002461255964377005
a2c,test,115.0,0.24856808462793545,0.10559252838848954,0.0926875249072764,0.059046829201490826,0.6376717198708434,0.7335106667565722,-0.09432111454034064,1.1195004310867018,0.34173913043478266,0.0393,0.5826086956521739,0.0015072107373905485
dqn,validation,104.0,-0.07848611934764049,-0.04004485487479181,0.1487867128802046,-0.06370816550156921,-0.42959517540757175,-0.6772998433593707,-0.2390825593107162,-0.16749383556141695,0.5,0.052000000000000005,0.4807692307692308,-0.001507195813760019
dqn,test,115.0,-0.059712433399366494,-0.027456169580906686,0.1440726247335917,-0.06309993523680497,-0.438250114905365,-0.5646539678128858,-0.2232997943805326,-0.12295653767650908,0.5704347826086956,0.06559999999999999,0.4782608695652174,-0.0012292537000393115
