week_end,eval_split,action_id,action_name,reward,portfolio_return,turnover,transaction_cost
2014-07-04,train,2,tlt_only,0.024334180590051865,0.0262011423361603,1.0,0.001
2014-07-11,train,2,tlt_only,0.0074324709006788215,0.0082759817384605,0.0,0.0
2014-07-18,train,2,tlt_only,0.009208651742759796,0.0100415838913285,0.0,0.0
2014-07-25,train,0,cash_only,-0.0009826923076923077,1.7307692307692306e-05,1.0,0.001
2014-08-01,train,3,gld_only,0.012905682746162566,0.0145522208390187,1.0,0.001
2014-08-08,train,2,tlt_only,0.017490975150962308,0.0189574796631313,1.0,0.001
2014-08-15,train,1,spy_only,0.01587296349836161,0.0177298570347381,1.0,0.001
2014-08-22,train,2,tlt_only,0.013578687268851287,0.015005607400736,1.0,0.001
2014-08-29,train,1,spy_only,0.0006996269807459825,0.0019927756319002,1.0,0.001
2014-09-05,train,0,cash_only,-0.0009827755793657485,1.7307692307692306e-05,1.0,0.001
2014-09-12,train,1,spy_only,0.011177312895529862,0.0125952719286914,1.0,0.001
2014-09-19,train,2,tlt_only,0.01034936219260567,0.0122168435165217,1.0,0.001
2014-09-26,train,2,tlt_only,0.016444810768387486,0.0171839195488745,0.0,0.0
2014-10-03,train,3,gld_only,0.024126659816876245,0.026001184117173,1.0,0.001
2014-10-10,train,3,gld_only,0.01104482367128522,0.0119057876475821,0.0,0.0
2014-10-17,train,1,spy_only,0.03989565892069681,0.0422343258626498,1.0,0.001
2014-10-24,train,1,spy_only,0.02517948305501191,0.0266257410868211,0.0,0.0
2014-10-31,train,1,spy_only,0.007337021131816244,0.0083308305685017,0.0,0.0
2014-11-07,train,3,gld_only,0.011112186719643945,0.0132778612356525,1.0,0.001
2014-11-14,train,1,spy_only,0.010526623805374391,0.0119464246902452,1.0,0.001
2014-11-21,train,2,tlt_only,0.018501551912503446,0.0198997406311192,1.0,0.001
2014-11-28,train,3,gld_only,0.018748242230317316,0.0206939584532479,1.0,0.001
2014-12-05,train,2,tlt_only,0.04106005750458611,0.0430257582603264,1.0,0.001
2014-12-12,train,1,spy_only,0.03149603069700649,0.0336993245268451,1.0,0.001
2014-12-19,train,1,spy_only,0.0080810414537815,0.009296897792473,0.0,0.0
2014-12-26,train,2,tlt_only,0.021334275693034026,0.0233903880326455,1.0,0.001
2015-01-02,train,2,tlt_only,0.02861731165512011,0.0294531940968083,0.0,0.0
2015-01-09,train,3,gld_only,0.04282097445665472,0.0448575337797194,1.0,0.001
2015-01-16,train,1,spy_only,0.014946195171972623,0.0165650879665908,1.0,0.001
2015-01-23,train,2,tlt_only,0.024687732966813328,0.0260444691900663,1.0,0.001
2015-01-30,train,1,spy_only,0.02844224444511188,0.0305840442496565,1.0,0.001
2015-02-06,train,1,spy_only,0.019476838577589643,0.020578662612821,0.0,0.0
2015-02-13,train,1,spy_only,0.005872954485853949,0.0069596155567319,0.0,0.0
2015-02-20,train,2,tlt_only,0.0212982136371172,0.0236285349062566,1.0,0.001
2015-02-27,train,0,cash_only,-0.0009887007181339199,1.1538461538461538e-05,1.0,0.001
2015-03-06,train,2,tlt_only,0.023617739212473312,0.0260724413875705,1.0,0.001
2015-03-13,train,2,tlt_only,0.03617899572484875,0.0378004142735706,0.0,0.0
2015-03-20,train,3,gld_only,0.010949668941938884,0.0131196431079805,1.0,0.001
2015-03-27,train,1,spy_only,0.0015051679571405126,0.0034023776789902,1.0,0.001
2015-04-03,train,1,spy_only,0.01651474204986726,0.0174384699818492,0.0,0.0
2015-04-10,train,2,tlt_only,0.012698422109731211,0.0141186490621689,1.0,0.001
2015-04-17,train,1,spy_only,0.016219363634450694,0.0177925046965723,1.0,0.001
2015-04-24,train,3,gld_only,-0.00126049182502804,0.0002653585005489,1.0,0.001
2015-05-01,train,3,gld_only,0.007319638541404348,0.0078705286101616,0.0,0.0
2015-05-08,train,3,gld_only,0.030284503077120228,0.0312362684957756,0.0,0.0
2015-05-15,train,1,spy_only,0.001414072091819745,0.0025894488400151,1.0,0.001
2015-05-22,train,2,tlt_only,0.017554711416678997,0.0191867079307821,1.0,0.001
2015-05-29,train,0,cash_only,-0.0009848235637989866,1.5384615384615384e-05,1.0,0.001
2015-06-05,train,3,gld_only,0.007295094800614157,0.0088204339986328,1.0,0.001
2015-06-12,train,3,gld_only,0.015990355461395014,0.0166916835963577,0.0,0.0
2015-06-19,train,0,cash_only,-0.0009752081791836021,2.4999999999999998e-05,1.0,0.001
2015-06-26,train,2,tlt_only,0.007034389143911523,0.0088988216965057,1.0,0.001
2015-07-03,train,1,spy_only,-0.0005578627452392973,0.0008201441636273,1.0,0.001
