week_end,news_finbert_compound_spy,news_finbert_compound_tlt,news_finbert_compound_gld,news_finbert_compound_vix,news_finbert_compound_tnx
2014-01-03,0.6514602676033974,0.2139296252280473,-0.9402334131300448,0.076908222399652,-0.3743375241756439
2014-01-10,0.0048596858978271,-0.9217987274751068,0.6860801354050636,-0.0293119400739669,0.8536231834441423
2014-01-17,0.0645779594779014,0.6350328149273992,-0.0213708914816379,0.3283890150487423,-0.4700033590197563
2014-01-24,-0.0584396533668041,0.0434346497058868,-0.025976788252592,0.0677509382367134,0.0434346497058868
2014-01-31,-0.806909766048193,-0.6959959492087364,-0.6046222150325775,0.3178885877132416,0.0050666891038417
2014-02-07,-0.914881121367216,0.9221965968608856,-0.5755981747061014,0.0209819450974464,0.0455495379865169
2014-02-14,0.5360371023416519,0.4204043075442314,-0.7428931891918182,-0.0459805577993392,0.400163184851408
2014-02-21,-0.0076815336942672,0.8915712470188737,0.0560289919376373,-0.3314309455454349,-0.0251427590847015
2014-02-28,0.189018553122878,0.0258456394076347,0.0037498772144317,0.0448658168315887,0.2173033356666565
2014-03-07,-0.9364890521392226,-0.1491609811782837,0.0145747847855091,-0.9282395951449872,-0.0095954351127147
2014-03-14,0.4840076668187976,-0.8471256494522095,-0.0250951889902353,-0.0173978880047798,-0.0064223781228065
2014-03-21,-0.2523519061505794,-0.0054232515394687,0.2092249877750873,0.0006897896528244,-0.917500365525484
2014-03-28,-0.8145607449114323,-0.0724869556725025,0.0202106200158596,0.1181866526603698,-0.0724869556725025
2014-04-04,-0.6958156079053879,0.0117829665541648,-0.0202254056930542,0.8290247842669487,0.1061766166239976
2014-04-11,-0.1431385800242424,-0.4709651991724968,-0.0556844845414161,-0.1431385800242424,-0.0547096766531467
2014-04-18,0.9166210424154996,0.0632738582789897,-0.9302309174090624,-0.2891339175403118,0.0632739569991827
2014-04-25,-0.3149349763989448,0.8573981896042824,-0.967492270283401,0.0545151382684707,0.857398048043251
2014-05-02,-0.6765719689428806,-0.0572998076677322,-0.008093224838376,-0.7493595257401466,-0.057300005108118
2014-05-09,0.0760008618235588,-0.0759772956371307,0.1006635129451751,0.0182152576744556,-0.0759775191545486
2014-05-16,0.8626899756491184,-0.0408820305019617,-0.0674406662583351,-0.1467282213270664,-0.0408819410949945
2014-05-23,0.0859959777444601,0.2990885907784104,-0.8971089590340853,0.1208890974521637,-0.5461815446615219
2014-05-30,0.0704409927129745,-0.9348100908100604,-0.5716416332870722,0.0704409927129745,-0.9348101057112216
2014-06-06,0.1770207351073622,-0.921110451221466,-0.1037445254623889,-0.0869605988264083,-0.921110464259982
2014-06-13,0.6420937152579427,0.0150650069117546,0.5341831082478166,-0.0002431608736515,0.0150649826973676
2014-06-20,-0.0339311771094799,0.5890291640534997,0.8154331669211388,-0.1652034800499677,-0.0661731325089931
