week_end,eval_split,action_id,action_name,reward,portfolio_return,turnover,transaction_cost
2014-07-04,train,2,tlt_only,0.024334180590051865,0.0262011423361603,1.0,0.001
2014-07-11,train,2,tlt_only,0.0074324709006788215,0.0082759817384605,0.0,0.0
2014-07-18,train,0,cash_only,-0.000982733943529028,1.7307692307692306e-05,1.0,0.001
2014-07-25,train,6,defensive_20_60_20,-0.013103746414056658,-0.01171141127600604,1.0,0.001
2014-08-01,train,6,defensive_20_60_20,0.008430782116318414,0.008707394582594641,0.0,0.0
2014-08-08,train,4,spy_80_tlt_20,0.012866600635893432,0.01405816790353322,0.6,0.0006
2014-08-15,train,1,spy_only,0.01667296349836161,0.0177298570347381,0.19999999999999998,0.00019999999999999998
2014-08-22,train,1,spy_only,0.007368460366107375,0.0076309498790285,0.0,0.0
2014-08-29,train,1,spy_only,0.0016996269807459826,0.0019927756319002,0.0,0.0
2014-09-05,train,5,balanced_60_30_10,-0.015801462538589963,-0.01501382767357579,0.39999999999999997,0.00039999999999999996
2014-09-12,train,2,tlt_only,0.009154566243301358,0.0107594420733201,0.7,0.0007
2014-09-19,train,5,balanced_60_30_10,-0.005840873999649997,-0.00473097389323522,0.7,0.0007
2014-09-26,train,2,tlt_only,0.015744810768387487,0.0171839195488745,0.7,0.0007
2014-10-03,train,2,tlt_only,0.019779875370645558,0.0199655336042943,0.0,0.0
2014-10-10,train,5,balanced_60_30_10,-0.003767808878635486,-0.00277849599257263,0.7,0.0007
2014-10-17,train,1,spy_only,0.040495658920696814,0.0422343258626498,0.39999999999999997,0.00039999999999999996
2014-10-24,train,1,spy_only,0.02517948305501191,0.0266257410868211,0.0,0.0
2014-10-31,train,2,tlt_only,0.0052409047946078745,0.0066409397263131,1.0,0.001
2014-11-07,train,5,balanced_60_30_10,0.002153789069018784,0.0033321060763922706,0.7,0.0007
2014-11-14,train,2,tlt_only,0.004178139014618078,0.0051049475685218,0.7,0.0007
2014-11-21,train,2,tlt_only,0.019501551912503447,0.0198997406311192,0.0,0.0
2014-11-28,train,2,tlt_only,-0.009727689054262082,-0.0091887889697281,0.0,0.0
2014-12-05,train,2,tlt_only,0.042060057504586114,0.0430257582603264,0.0,0.0
2014-12-12,train,1,spy_only,0.03149603069700649,0.0336993245268451,1.0,0.001
2014-12-19,train,2,tlt_only,-0.011604741387492866,-0.0095069748173377,1.0,0.001
2014-12-26,train,2,tlt_only,0.022334275693034027,0.0233903880326455,0.0,0.0
2015-01-02,train,2,tlt_only,0.02861731165512011,0.0294531940968083,0.0,0.0
2015-01-09,train,2,tlt_only,0.01543240415166557,0.0161745315934704,0.0,0.0
2015-01-16,train,2,tlt_only,0.011526293686267118,0.0118631047844801,0.0,0.0
2015-01-23,train,3,gld_only,-0.00821646572480681,-0.0062787280657983,1.0,0.001
2015-01-30,train,1,spy_only,0.02844224444511188,0.0305840442496565,1.0,0.001
2015-02-06,train,1,spy_only,0.019476838577589643,0.020578662612821,0.0,0.0
2015-02-13,train,1,spy_only,0.005872954485853949,0.0069596155567319,0.0,0.0
2015-02-20,train,6,defensive_20_60_20,0.01352753232518341,0.01515473235005068,0.7999999999999999,0.0007999999999999999
2015-02-27,train,1,spy_only,-0.01645229329599878,-0.0150001399438125,0.7999999999999999,0.0007999999999999999
2015-03-06,train,6,defensive_20_60_20,0.010589543914765229,0.012281559341806579,0.7999999999999999,0.0007999999999999999
2015-03-13,train,2,tlt_only,0.03577899572484875,0.0378004142735706,0.4,0.0004
2015-03-20,train,6,defensive_20_60_20,-0.005269508500150184,-0.0038681438579155993,0.4,0.0004
2015-03-27,train,3,gld_only,0.0004955805148222153,0.0019120565389467,0.8,0.0008
2015-04-03,train,1,spy_only,0.015514742049867258,0.0174384699818492,1.0,0.001
2015-04-10,train,1,spy_only,-0.010690142164320947,-0.0099504855552593,0.0,0.0
2015-04-17,train,1,spy_only,0.017219363634450695,0.0177925046965723,0.0,0.0
2015-04-24,train,3,gld_only,-0.00126049182502804,0.0002653585005489,1.0,0.001
2015-05-01,train,3,gld_only,0.007319638541404348,0.0078705286101616,0.0,0.0
2015-05-08,train,3,gld_only,0.030284503077120228,0.0312362684957756,0.0,0.0
2015-05-15,train,1,spy_only,0.001414072091819745,0.0025894488400151,1.0,0.001
2015-05-22,train,2,tlt_only,0.017554711416678997,0.0191867079307821,1.0,0.001
2015-05-29,train,1,spy_only,-0.00776244195439649,-0.006488241333178,1.0,0.001
2015-06-05,train,5,balanced_60_30_10,0.0017033434012978163,0.0024610328467307803,0.39999999999999997,0.00039999999999999996
