target,kind,mean,std,min,max,positive_rate
next_return_spy,continuous_next_return,0.002665252317203345,0.02300810499506284,-0.1454572203281556,0.1209156374548023,0.5854922279792746
next_return_tlt,continuous_next_return,0.00020650308889867938,0.01952645701100912,-0.0769324362114388,0.0753736222804808,0.5181347150259067
next_return_gld,continuous_next_return,0.0022402984191053966,0.020939645143035902,-0.1029858341989052,0.087137104394831,0.5440414507772021
best_asset_next_week=SPY,classification_share,0.4110535405872193,,,,
best_asset_next_week=GLD,classification_share,0.30569948186528495,,,,
best_asset_next_week=TLT,classification_share,0.28324697754749567,,,,
