k,inertia,jump_penalty_cost,objective,silhouette,jumps,min_duration_weeks,average_duration_weeks,max_duration_weeks,iterations
2,13891.378825077565,0.0,13891.378825077565,0.28965471104921475,3,4,144.75,292,2
3,11859.136363084528,0.0,11859.136363084528,0.2923838818416574,3,5,144.75,291,2
4,10100.621933033206,0.0,10100.621933033206,0.31533660053636575,7,1,72.375,291,2
5,8822.516035793684,0.0,8822.516035793684,0.3050326532681772,86,1,6.655172413793103,78,2
6,7752.419753887421,0.0,7752.419753887421,0.30482776678781887,110,1,5.216216216216216,77,2
7,7002.86871471766,0.0,7002.86871471766,0.2530497537093568,166,1,3.467065868263473,38,2
8,6647.527622054618,0.0,6647.527622054618,0.23603660527474268,180,1,3.1988950276243093,38,2
9,6355.586970370948,0.0,6355.586970370948,0.19790561869169868,233,1,2.4743589743589745,38,2
10,6040.83956628802,0.0,6040.83956628802,0.17401287013125796,270,1,2.1365313653136533,13,2
