feature,pc1,pc2,pc3,pc4,pc5,pc6
spy_ret_1d,-0.06868696472924941,0.06368308065689196,-0.06211719263415269,-0.07590077770539738,-0.19104324615080592,-0.01770262340566448
spy_ret_5d,-0.1476620999586269,0.0930920120230892,-0.023837075222277182,-0.1964465062817915,-0.26762333106804376,0.01744364859775266
spy_ret_20d,-0.2294201363943119,0.12212754554510807,-0.010039363766730014,-0.18682263493429174,0.02443166701949001,-0.03010441142097633
spy_vol_5d,0.2758212315213622,-0.12211026267276706,-0.045357779938614395,-0.017922975357880844,-0.053365794349050866,0.03882490237537367
spy_vol_20d,0.2623418992463978,-0.10957236472890608,-0.06864531736250623,-0.11488589537450453,-0.1895303451987591,0.0076532095747995355
spy_drawdown_60d,-0.2813172221348669,0.10306229110717563,0.04601057935212666,-0.008953178017474583,0.0582408910769244,0.016731108072195047
spy_ma_gap_5_20,-0.21301071090748605,0.10712031847025766,-0.002881444146191181,-0.18941165441008864,-0.001627287147763834,-0.023885530183060093
spy_intraday_range,0.2776689948345181,-0.10738351776796758,-0.027089780980558198,0.023793644243224943,0.09596132966192007,0.004055317898914335
spy_volume_z_20,0.07919717971730997,-0.024306021299048068,0.03954312006831365,0.13849045550865913,0.38412020875327935,0.01756473036281625
tlt_ret_1d,0.0601499480680497,-0.1357031023388365,0.1557883590771576,0.03695511222379111,-0.0025183573762004585,-0.11760633490198998
tlt_ret_5d,-0.0037617009783513827,-0.15501893600251493,0.3068340967078231,-0.026509447314475104,-0.02191586476903941,-0.2721688881903366
tlt_ret_20d,-0.018687115636671043,-0.16396712696002397,0.2733629716173836,-0.07257002393776935,-0.0960695611833926,0.061046133807805714
tlt_vol_5d,0.23676357368137624,-0.03266837640284154,-0.014809921039069857,-0.010848655060359147,-0.06539234423455238,-0.03225275440540565
tlt_vol_20d,0.2517477368925584,-0.014032012912140934,-0.046670391830843934,-0.09222295011139316,-0.19942733754830283,-0.0687111739998233
tlt_drawdown_60d,-0.12702403417477892,-0.15970833159813735,0.23056441723491847,-0.058537959632963876,0.011805123264222402,0.08323890446666898
tlt_ma_gap_5_20,-0.018707701345612577,-0.14413930221247218,0.2600647251954194,-0.08565742565632445,-0.10737994010637193,0.05678706237953436
tlt_intraday_range,0.23572874929674872,-0.036884414764642284,-0.041045389240320286,0.021319983889930894,0.045760937559429414,-0.009370137654754489
tlt_volume_z_20,0.057627760685121265,-0.02806627417643329,0.024680880966823797,0.10281858314994692,0.3052066518095793,0.11788738848086401
gld_ret_1d,-0.010961430374223544,-0.02287728138407767,0.07804202469657591,-0.02325043528300758,0.006154422984015825,-0.12462269878742183
gld_ret_5d,-0.0027071240846171206,-0.02620542670020396,0.19569879203894414,-0.14368322218519608,0.012554072602137962,0.06502749625081235
