week_end,week_last_trade_date,spy_weekly_close,tlt_weekly_close,gld_weekly_close,next_return_spy,next_return_tlt,next_return_gld,split,regime,regime_name,jm_pc1,jm_pc2,jm_pc3,jm_pc4,jm_pc5,jm_pc6,jm_regime_distance_0,jm_regime_score_0,jm_regime_distance_1,jm_regime_score_1,jm_regime_distance_2,jm_regime_score_2,jm_regime_distance_3,jm_regime_score_3,jm_regime_changed,jm_regime_duration_weeks,jm_stress_score,best_asset_next_week
2014-03-28,2014-03-28,151.3328094482422,78.87637329101562,124.55999755859376,0.0049053479585636,-0.0057689309186917,0.0081085593772216,train,1,R1: Growth / trend,-1.1349426667249616,-1.3970844967922562,-0.0865885764821544,-0.679512672761539,-0.3942168003324654,0.3438193475880241,23.419260412654005,0.3216586306609545,6.414384913070179,0.47384583439017486,44.041620678607686,0.20107722726682506,222.89727099753853,0.0034183076820455973,1,1,0.0034183076820455973,GLD
2014-04-04,2014-04-04,152.0751495361328,78.42134094238281,125.56999969482422,-0.0262337532811506,0.0209292058385566,0.0108306172943919,train,1,R1: Growth / trend,-1.1349426667249616,-1.3970844967922562,-0.0865885764821544,-0.679512672761539,-0.3942168003324654,0.3438193475880241,23.419260412654005,0.3216586306609545,6.414384913070179,0.47384583439017486,44.041620678607686,0.20107722726682506,222.89727099753853,0.0034183076820455973,0,2,0.0034183076820455973,TLT
2014-04-11,2014-04-11,148.0856475830078,80.06263732910156,126.93000030517578,0.0268856863735698,-0.0061410505271122,-0.017174823130343,train,1,R1: Growth / trend,-1.1349426667249616,-1.3970844967922562,-0.0865885764821544,-0.679512672761539,-0.3942168003324654,0.3438193475880241,23.419260412654005,0.3216586306609545,6.414384913070179,0.47384583439017486,44.041620678607686,0.20107722726682506,222.89727099753853,0.0034183076820455973,0,3,0.0034183076820455973,SPY
2014-04-18,2014-04-17,152.06703186035156,79.57096862792969,124.75,-0.0005364311075857,0.0116316887267935,0.005450904249906,train,1,R1: Growth / trend,-1.1349426667249616,-1.3970844967922562,-0.0865885764821544,-0.679512672761539,-0.3942168003324654,0.3438193475880241,23.419260412654005,0.3216586306609545,6.414384913070179,0.47384583439017486,44.041620678607686,0.20107722726682506,222.89727099753853,0.0034183076820455973,0,4,0.0034183076820455973,TLT
2014-04-25,2014-04-25,151.98545837402344,80.49651336669922,125.43000030517578,0.0095016133195469,0.0148520890139636,-0.0029498743975268,train,1,R1: Growth / trend,-1.1349426667249616,-1.3970844967922562,-0.0865885764821544,-0.679512672761539,-0.3942168003324654,0.3438193475880241,23.419260412654005,0.3216586306609545,6.414384913070179,0.47384583439017486,44.041620678607686,0.20107722726682506,222.89727099753853,0.0034183076820455973,0,5,0.0034183076820455973,TLT
2014-05-02,2014-05-02,153.4295654296875,81.69205474853516,125.05999755859376,-0.0005322640316016,-0.0130422101582426,-0.0076763081977743,train,1,R1: Growth / trend,-1.1349426667249616,-1.3970844967922562,-0.0865885764821544,-0.679512672761539,-0.3942168003324654,0.3438193475880241,23.419260412654005,0.3216586306609545,6.414384913070179,0.47384583439017486,44.041620678607686,0.20107722726682506,222.89727099753853,0.0034183076820455973,0,6,0.0034183076820455973,SPY
2014-05-09,2014-05-09,153.347900390625,80.6266098022461,124.0999984741211,0.000479014126439,0.0206758377806886,0.0032232194262462,train,1,R1: Growth / trend,-1.1349426667249616,-1.3970844967922562,-0.0865885764821544,-0.679512672761539,-0.3942168003324654,0.3438193475880241,23.419260412654005,0.3216586306609545,6.414384913070179,0.47384583439017486,44.041620678607686,0.20107722726682506,222.89727099753853,0.0034183076820455973,0,7,0.0034183076820455973,TLT
2014-05-16,2014-05-16,153.42135620117188,82.29363250732422,124.5,0.0122311907896686,-0.007398396739002,8.033844361832188e-05,train,1,R1: Growth / trend,-1.1349426667249616,-1.3970844967922562,-0.0865885764821544,-0.679512672761539,-0.3942168003324654,0.3438193475880241,23.419260412654005,0.3216586306609545,6.414384913070179,0.47384583439017486,44.041620678607686,0.20107722726682506,222.89727099753853,0.0034183076820455973,0,8,0.0034183076820455973,SPY
2014-05-23,2014-05-23,155.29788208007812,81.6847915649414,124.51000213623048,0.0122401131425653,0.0124225371871471,-0.0327684664770195,train,1,R1: Growth / trend,-1.1349426667249616,-1.3970844967922562,-0.0865885764821544,-0.679512672761539,-0.3942168003324654,0.3438193475880241,23.419260412654005,0.3216586306609545,6.414384913070179,0.47384583439017486,44.041620678607686,0.20107722726682506,222.89727099753853,0.0034183076820455973,0,9,0.0034183076820455973,TLT
2014-05-30,2014-05-30,157.19874572753906,82.69952392578125,120.43000030517578,0.0140130576284993,-0.0194716738415984,0.0014946467219103,train,1,R1: Growth / trend,-1.1349426667249616,-1.3970844967922562,-0.0865885764821544,-0.679512672761539,-0.3942168003324654,0.3438193475880241,23.419260412654005,0.3216586306609545,6.414384913070179,0.47384583439017486,44.041620678607686,0.20107722726682506,222.89727099753853,0.0034183076820455973,0,10,0.0034183076820455973,SPY
