week_end,week_last_trade_date,regime,regime_name,spy_weekly_close,tlt_weekly_close,gld_weekly_close,next_return_spy,next_return_tlt,next_return_gld,jm_pc1,jm_pc2,jm_pc3,jm_pc4,jm_pc5,jm_pc6,jm_regime_distance_0,jm_regime_score_0,jm_regime_distance_1,jm_regime_score_1,jm_regime_distance_2,jm_regime_score_2,jm_regime_changed,jm_regime_duration_weeks,jm_stress_score,best_asset_next_week
2014-03-28,2014-03-28,0,R0: Calm / risk-on,151.3328094482422,78.87637329101562,124.55999755859376,0.0049053479585636,-0.0057689309186917,0.0081085593772216,-0.979522681097189,-1.1666483958266451,0.1059424936327411,-0.5151613989532409,0.005594423759615734,-0.024203586124527426,4.680391506099027,0.5747751265487048,18.79795489869842,0.3726428267069303,82.5919217970551,0.05258204674436499,1,1,0.05258204674436499,GLD
2014-04-04,2014-04-04,0,R0: Calm / risk-on,152.0751495361328,78.42134094238281,125.56999969482422,-0.0262337532811506,0.0209292058385566,0.0108306172943919,-0.9795226810971961,-1.1666483958266505,0.1059424936327391,-0.51516139895324,0.005594423759617513,-0.024203586124522572,4.680391506099015,0.5747751265487051,18.797954898698435,0.37264282670693016,82.59192179705524,0.05258204674436475,0,2,0.05258204674436475,TLT
2014-04-11,2014-04-11,0,R0: Calm / risk-on,148.0856475830078,80.06263732910156,126.93000030517578,0.0268856863735698,-0.0061410505271122,-0.017174823130343,-0.9795226810972079,-1.166648395826673,0.10594249363273678,-0.5151613989532379,0.005594423759624242,-0.02420358612452071,4.680391506099025,0.5747751265487052,18.797954898698404,0.3726428267069307,82.59192179705568,0.05258204674436409,0,3,0.05258204674436409,SPY
2014-05-02,2014-05-02,0,R0: Calm / risk-on,153.4295654296875,81.69205474853516,125.05999755859376,-0.0005322640316016,-0.0130422101582426,-0.0076763081977743,-0.979522681097196,-1.1666483958266525,0.10594249363273975,-0.5151613989532423,0.005594423759618186,-0.024203586124527044,4.680391506099019,0.5747751265487051,18.79795489869844,0.37264282670693016,82.59192179705526,0.0525820467443647,0,4,0.0525820467443647,SPY
2014-05-09,2014-05-09,0,R0: Calm / risk-on,153.347900390625,80.6266098022461,124.0999984741211,0.000479014126439,0.0206758377806886,0.0032232194262462,-0.9795226810971912,-1.1666483958266505,0.10594249363273633,-0.5151613989532414,0.005594423759614168,-0.024203586124527984,4.680391506099035,0.5747751265487048,18.797954898698404,0.37264282670693044,82.59192179705519,0.05258204674436481,0,5,0.05258204674436481,TLT
2014-05-16,2014-05-16,0,R0: Calm / risk-on,153.42135620117188,82.29363250732422,124.5,0.0122311907896686,-0.007398396739002,8.033844361832188e-05,-0.9795226810971933,-1.166648395826653,0.10594249363274388,-0.5151613989532446,0.00559442375961432,-0.02420358612452304,4.680391506099032,0.5747751265487049,18.797954898698418,0.37264282670693044,82.59192179705524,0.05258204674436476,0,6,0.05258204674436476,SPY
2014-05-23,2014-05-23,0,R0: Calm / risk-on,155.29788208007812,81.6847915649414,124.51000213623048,0.0122401131425653,0.0124225371871471,-0.0327684664770195,-0.9795226810971908,-1.1666483958266542,0.10594249363273847,-0.5151613989532399,0.005594423759616934,-0.024203586124526902,4.680391506099043,0.5747751265487046,18.79795489869838,0.3726428267069308,82.59192179705524,0.052582046744364744,0,7,0.052582046744364744,TLT
2014-05-30,2014-05-30,0,R0: Calm / risk-on,157.19874572753906,82.69952392578125,120.43000030517578,0.0140130576284993,-0.0194716738415984,0.0014946467219103,-0.9795226810971941,-1.1666483958266525,0.10594249363273775,-0.5151613989532383,0.005594423759618192,-0.02420358612453136,4.680391506099025,0.5747751265487049,18.79795489869842,0.3726428267069303,82.59192179705522,0.05258204674436478,0,8,0.05258204674436478,SPY
2014-06-06,2014-06-06,0,R0: Calm / risk-on,159.40158081054688,81.08922576904297,120.61000061035156,-0.0063977151482279,0.0050185693652562,0.0194842754516941,-0.9795226810971922,-1.1666483958266534,0.10594249363274043,-0.5151613989532403,0.005594423759617225,-0.024203586124529688,4.680391506099034,0.5747751265487048,18.797954898698404,0.37264282670693044,82.59192179705524,0.052582046744364744,0,9,0.052582046744364744,GLD
2014-06-13,2014-06-13,0,R0: Calm / risk-on,158.38177490234375,81.49617767333984,122.95999908447266,0.0141600322475352,-0.0031208963751374,0.0287898580179346,-0.9795226810971928,-1.166648395826652,0.10594249363273843,-0.5151613989532371,0.005594423759619286,-0.02420358612452891,4.680391506099028,0.5747751265487048,18.797954898698407,0.37264282670693044,82.5919217970552,0.0525820467443648,0,10,0.0525820467443648,GLD
2014-06-20,2014-06-20,0,R0: Calm / risk-on,160.6244659423828,81.24183654785156,126.5,-0.0006124435185436,0.0128802754934249,0.0012648510838686,-0.9795226810971918,-1.1666483958266525,0.10594249363273436,-0.515161398953238,0.0055944237596164004,-0.0242035861245266,4.6803915060990375,0.5747751265487046,18.79795489869839,0.3726428267069306,82.59192179705519,0.05258204674436483,0,11,0.05258204674436483,TLT
2014-06-27,2014-06-27,0,R0: Calm / risk-on,160.52609252929688,82.28825378417969,126.66000366210938,0.0121539075446772,-0.0200861586365485,0.0039475760740845,-0.9795226810971915,-1.1666483958266523,0.1059424936327396,-0.5151613989532408,0.005594423759617893,-0.024203586124528578,4.680391506099034,0.5747751265487048,18.797954898698407,0.37264282670693044,82.59192179705522,0.052582046744364765,0,12,0.052582046744364765,SPY
2014-07-18,2014-07-18,0,R0: Calm / risk-on,162.07542419433594,83.4329605102539,126.12999725341795,5.074481430833444e-05,0.0100415838913285,-0.0026956025156132,0.45472580578499333,0.9425340104734736,2.772616331233495,-2.0044103300526226,-3.2093817422055544,0.7302123133421041,33.08638203972446,0.5009665856589717,47.85142051790277,0.3183991408880676,66.31714309001994,0.18063427345296068,0,13,0.18063427345296068,TLT
2014-07-25,2014-07-25,0,R0: Calm / risk-on,162.08364868164062,84.27075958251953,125.79000091552734,-0.0264013095451706,-0.0069821865609612,-0.011209187151976,0.3555024815896982,0.3633466671342062,3.2253501487747718,-1.9094617711045105,-2.5042772684023134,0.8137002601832022,29.49908829824324,0.5174247305304746,42.876695919149924,0.3431678075602123,72.22275268457601,0.13940746190931325,0,14,0.13940746190931325,TLT
2014-08-01,2014-08-01,1,R1: Growth / trend,157.80442810058594,83.68236541748047,124.37999725341795,0.0038445654562893,0.0083800622058884,0.0145522208390187,4.361189702986105,4.623130074838144,-1.1177757470107703,-2.3139693241533665,0.2258633321339194,2.334694738816698,83.88254878847968,0.11420879126543233,78.74060533257416,0.13373596834374624,22.48183072989312,0.7520552403908215,1,1,0.7520552403908215,GLD
2014-08-08,2014-08-08,1,R1: Growth / trend,158.41111755371094,84.38362884521484,126.19000244140624,0.0128333399636337,0.0189574796631313,-0.0056264289621701,3.2414325266943314,1.7147057038634423,1.711192736858579,-1.0218258766250752,-1.4511896255724144,-2.4682116881905696,49.366011599229694,0.2561320218113195,45.69610196048125,0.28667411017722005,30.49036677568139,0.45719386801146045,0,2,0.45719386801146045,TLT
2014-08-15,2014-08-15,1,R1: Growth / trend,160.44406127929688,85.98332977294922,125.4800033569336,0.0177298570347381,-0.0035674334541229,-0.0182499271139907,2.2663099798203943,0.0058738002103867325,3.359463274635176,-1.5768448845105287,-1.287423590411373,-0.1759637832355454,38.29780796171506,0.3670574456909608,32.74908896541385,0.4352167168668127,58.45120663620787,0.19772583744222658,0,3,0.19772583744222658,SPY
2014-08-22,2014-08-22,1,R1: Growth / trend,163.28871154785156,85.67658996582031,123.19000244140624,0.0076309498790285,0.015005607400736,0.0054387381740981,-0.3569142712011049,-1.7100390346711458,0.8572235571498269,1.1982867847885452,-1.9716278582666906,-0.15586415439912277,16.53109927209304,0.4793452233279398,17.612362801399467,0.46369645574269913,85.92362408999594,0.05695832092936116,0,4,0.05695832092936116,TLT
2014-08-29,2014-08-29,1,R1: Growth / trend,164.53475952148438,86.96221923828125,123.86000061035156,0.0019927756319002,-0.0256702045004558,-0.0145325613021785,-0.020728170030441095,-4.370401376108307,2.434433139349425,-2.4164041176541002,-1.3418712285573569,-0.9729815496340344,38.76127443790633,0.40158187791213223,26.625756012384816,0.5828490710866678,144.64097185350982,0.015569051001199886,0,5,0.015569051001199886,SPY
2014-09-05,2014-09-05,1,R1: Growth / trend,164.86264038085938,84.7298812866211,122.05999755859376,-0.0098455838239804,-0.0203052212306906,-0.0301491100998037,-0.9285778540021601,-1.7003137831458786,-2.6181356966583578,3.398420788066929,-2.069948142516867,4.076880802141085,52.671898596666324,0.41112617657638945,43.3576731522582,0.5471994889706899,127.24136271330865,0.041674334452920625,0,6,0.041674334452920625,SPY
