week_end,spy_weekly_close,tlt_weekly_close,gld_weekly_close,week_last_trade_date,next_return_spy,next_return_tlt,next_return_gld,source
2014-01-03,148.55592346191406,73.31794738769531,119.29000091552734,2014-01-03,0.006834493985626855,0.02192450933565593,0.008131454549908268,resampled_from_yahoo_prices_daily
2014-01-10,149.57122802734375,74.92540740966797,120.26000213623048,2014-01-10,-0.0027153831243688087,0.010247211404001533,0.005571246940327956,resampled_from_yahoo_prices_daily
2014-01-17,149.1650848388672,75.69318389892578,120.93000030517578,2014-01-17,-0.0258660187733174,0.018961307019866425,0.011246180492181512,resampled_from_yahoo_prices_daily
2014-01-24,145.30677795410156,77.12842559814453,122.29000091552734,2014-01-24,-0.0039685702509496545,0.007443485389851512,-0.017990061012072345,resampled_from_yahoo_prices_daily
2014-01-31,144.73011779785156,77.70252990722656,120.08999633789062,2014-01-31,0.008418526324578846,-0.011240766229412835,0.01732035885155936,resampled_from_yahoo_prices_daily
2014-02-07,145.9485321044922,76.82909393310547,122.16999816894533,2014-02-07,0.02415398076484565,-0.001966307727705563,0.040762899497198024,resampled_from_yahoo_prices_daily
2014-02-14,149.47377014160156,76.67802429199219,127.1500015258789,2014-02-14,-0.0007063149703351312,0.0008450458700808294,0.0033818348408611865,resampled_from_yahoo_prices_daily
2014-02-21,149.36819458007812,76.7428207397461,127.58000183105467,2014-02-21,0.013051085739760326,0.017811406589331558,0.0003135359378685365,resampled_from_yahoo_prices_daily
2014-02-28,151.31761169433594,78.1097183227539,127.62000274658205,2014-02-28,0.01057513695765877,-0.022316279248763227,0.01151852029205469,resampled_from_yahoo_prices_daily
2014-03-07,152.91781616210938,76.3666000366211,129.08999633789062,2014-03-07,-0.019122752783930608,0.02483744729893722,0.031063675570405014,resampled_from_yahoo_prices_daily
2014-03-14,149.9936065673828,78.26335144042969,133.10000610351562,2014-03-14,0.012790055240188059,-0.0026724158604284343,-0.03478591037187195,resampled_from_yahoo_prices_daily
2014-03-21,151.9120330810547,78.05419921875,128.47000122070312,2014-03-21,-0.0038128884267084606,0.01053337399518317,-0.03043514925630164,resampled_from_yahoo_prices_daily
2014-03-28,151.3328094482422,78.87637329101562,124.55999755859376,2014-03-28,0.004905347958563677,-0.005768930918691795,0.008108559377221658,resampled_from_yahoo_prices_daily
2014-04-04,152.0751495361328,78.42134094238281,125.56999969482422,2014-04-04,-0.02623375328115063,0.02092920583855662,0.010830617294391942,resampled_from_yahoo_prices_daily
2014-04-11,148.0856475830078,80.06263732910156,126.93000030517578,2014-04-11,0.026885686373569806,-0.006141050527112224,-0.01717482313034302,resampled_from_yahoo_prices_daily
2014-04-18,152.06703186035156,79.57096862792969,124.75,2014-04-17,-0.000536431107585722,0.011631688726793543,0.005450904249906019,resampled_from_yahoo_prices_daily
2014-04-25,151.98545837402344,80.49651336669922,125.43000030517578,2014-04-25,0.009501613319546909,0.01485208901396362,-0.0029498743975268082,resampled_from_yahoo_prices_daily
2014-05-02,153.4295654296875,81.69205474853516,125.05999755859376,2014-05-02,-0.0005322640316016702,-0.013042210158242695,-0.0076763081977743175,resampled_from_yahoo_prices_daily
2014-05-09,153.347900390625,80.6266098022461,124.0999984741211,2014-05-09,0.00047901412643902574,0.0206758377806886,0.00322321942624626,resampled_from_yahoo_prices_daily
2014-05-16,153.42135620117188,82.29363250732422,124.5,2014-05-16,0.012231190789668611,-0.007398396739002,8.033844361832188e-05,resampled_from_yahoo_prices_daily
