date,spy_ret_1d,spy_ret_5d,spy_ret_20d,spy_vol_5d,spy_vol_20d,spy_drawdown_60d,spy_ma_gap_5_20,spy_intraday_range,spy_volume_z_20,tlt_ret_1d,tlt_ret_5d,tlt_ret_20d,tlt_vol_5d,tlt_vol_20d,tlt_drawdown_60d,tlt_ma_gap_5_20,tlt_intraday_range,tlt_volume_z_20,gld_ret_1d,gld_ret_5d,gld_ret_20d,gld_vol_5d,gld_vol_20d,gld_drawdown_60d,gld_ma_gap_5_20,gld_intraday_range,gld_volume_z_20,qqq_spy_log_ratio,qqq_spy_ratio_chg_5d,spy_tlt_corr_20d,spy_gld_corr_20d,vix_level,vix_change_5d,tnx_level,tnx_change_5d,source
2014-01-02,,,,,,,,0.008692387998009806,,,,,,,,,0.006851296474378978,,,,,,,,,0.00830511319435249,,-0.6298653144947491,,,,14.229999542236328,,2.984999895095825,,derived_from_yahoo_prices_daily
2014-01-03,-0.00016381558263798892,,,,,,,0.005303741177430386,,0.0,,,,,,,0.006753399475164554,,0.01087288650299346,,,,,,,0.00863447397758675,,-0.6369463836166233,,,,13.760000228881836,,2.994999885559082,,derived_from_yahoo_prices_daily
2014-01-06,-0.0029023891109162554,,,,,,,0.008115791415801581,,0.004199421331148688,,,,,,,0.006140324198707073,,0.001758860402907068,,,,,,,0.027447688529680964,,-0.637744154220247,,,,13.550000190734863,,2.9609999656677246,,derived_from_yahoo_prices_daily
2014-01-07,0.00612313889155986,,,,,,,0.004578135804722758,,0.0025309974112885662,,,,,,,0.00418044237433612,,-0.005706631012357315,,,,,,,0.006648720060228922,,-0.6346419559984038,,,,12.920000076293944,,2.937000036239624,,derived_from_yahoo_prices_daily
2014-01-08,0.0002179514060939253,,,,,,,0.005122070725383624,,-0.002726138482164949,,,,,,,0.005751647073050904,,-0.005908660231013954,,,,,,,0.008635257529198807,,-0.6326818278731142,,,,12.869999885559082,,2.993000030517578,,derived_from_yahoo_prices_daily
2014-01-09,0.0006534670516158821,0.003928352655715504,,0.00329133935758096,,,,0.0072424408379172436,,0.005832269478981992,0.009836549739254253,,0.003396201685607643,,,,0.006784230918509307,,0.0028742629920469314,0.0038907186545764356,,0.006964642910413517,,,,0.005909206340087445,,-0.6366626835358575,-0.006797369041108392,,,12.890000343322754,-1.3399991989135742,2.9630000591278076,-0.021999835968017578,derived_from_yahoo_prices_daily
2014-01-10,0.0027190764645288667,0.006811244702882457,,0.003335640132677327,,,,0.006571123698696163,,0.01185107369337016,0.021687623432624467,,0.005288327508922067,,,,0.008140967764658497,,0.015080740254614516,0.008098572406197392,,0.008560727663648049,,,,0.00706800647781654,,-0.6361689447498446,0.0007774388667786125,,,12.140000343322754,-1.619999885559082,2.859999895095825,-0.13499999046325684,derived_from_yahoo_prices_daily
2014-01-13,-0.01339413894513454,-0.0036805051313358998,,0.007450745989252774,,,,0.015630999503159097,,0.004967670954736115,0.022455873056211727,,0.005294468850891311,,,,0.0063851917182569965,,0.0062997100806513355,0.012639422083941794,,0.008816226043330839,,,,0.006941034461954502,,-0.6376619303987836,8.222382146338969e-05,,,13.279999732971191,-0.2700004577636719,2.8269999027252197,-0.13400006294250488,derived_from_yahoo_prices_daily
2014-01-14,0.010838515960452247,0.0010348719375564987,,0.008725395308294637,,,,0.009909116036167648,,-0.004585080037896366,0.015339795607026897,,0.0067181469506194125,,,,0.0042125653830729064,,-0.009381142826874576,0.00896491026942455,,0.009775232026797136,,,,0.011176881680811298,,-0.6296121000202307,0.00502985597817307,,,12.279999732971191,-0.6400003433227521,2.86899995803833,-0.06800007820129395,derived_from_yahoo_prices_daily
2014-01-15,0.0053755722655158345,0.0061924927969782845,,0.009026684968576611,,,,0.006660867015846632,,-0.001053751125784282,0.01701218296340746,,0.006391235135492201,,,,0.00555876798362582,,-0.0019202320624570302,0.012953338437981368,,0.009131152693512926,,,,0.005849882390266526,,-0.6268068150757986,0.005875012797315615,,,12.279999732971191,-0.5900001525878906,2.884000062942505,-0.10899996757507324,derived_from_yahoo_prices_daily
2014-01-16,-0.0013003389390831325,0.004238686806279428,,0.009100331429355148,,,,0.00450060643799759,,0.006686660189301989,0.017866573673727362,,0.006483201105716898,,,,0.0033320494199401314,,0.001085798819833523,0.0111648742657678,,0.009152271319765249,,,,0.0032556923505114126,,-0.6253932899722467,0.011269393563610786,,,12.529999732971191,-0.3600006103515625,2.8429999351501465,-0.12000012397766113,derived_from_yahoo_prices_daily
